strategy,timeframe,instrument,year,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T2,M30,USDRUBF,2023,57,1.49988877046,0.217276032293,12.3847338407,-5.29753964037,2.33782749756,0.298245614035
T2,M30,USDRUBF,2024,57,1.98872494471,0.429671740741,24.4912892222,-6.17523525863,3.96604958297,0.368421052632
T2,M30,CNYRUBF,2023,43,2.37179327402,0.521833335646,22.4388334328,-3.09764297346,7.24384108339,0.441860465116
T2,M30,CNYRUBF,2024,51,0.888207253052,-0.0537214891016,-2.73979594418,-8.81138252817,-0.310938259169,0.333333333333
T2,M30,GLDRUBF,2023,24,1.00161609173,0.000719900371738,0.0172776089217,-3.48243306391,0.00496136138287,0.333333333333
T2,M30,GLDRUBF,2024,62,1.51698613493,0.226309636011,14.0311974327,-6.66240036868,2.10602735594,0.387096774194
T2,M30,IMOEXF,2023,8,0.298752396593,-0.537375938702,-4.29900750961,-6.13051294397,-0.701247603407,0.125
T2,M30,IMOEXF,2024,64,2.19321761849,0.477923590025,30.5871097616,-4.0624577029,7.52921310165,0.4375
T2,H1,USDRUBF,2023,23,2.3665830176,0.578441217561,13.3041480039,-2.62003359693,5.07785397083,0.347826086957
T2,H1,USDRUBF,2024,30,3.07768978776,0.847677232968,25.4303169891,-4.26598805416,5.96117866862,0.4
T2,H1,CNYRUBF,2023,22,2.19836150321,0.467748409633,10.2904650119,-2.35531968275,4.36903112868,0.363636363636
T2,H1,CNYRUBF,2024,25,1.39049845353,0.176862277792,4.42155694479,-3.06552186778,1.4423504824,0.32
T2,H1,GLDRUBF,2023,13,2.99946068614,0.649970618278,8.44961803761,-3.25448092204,2.59630283293,0.615384615385
T2,H1,GLDRUBF,2024,34,1.44166609655,0.178995271834,6.08583924234,-3.0587600623,1.98964257359,0.382352941176
T2,H1,IMOEXF,2023,3,0,-0.891702083669,-2.67510625101,-2.67510625101,-1,0
T2,H1,IMOEXF,2024,26,2.8532121824,0.583848106676,15.1800507736,-3.40274729779,4.46111610564,0.5
T3,M30,USDRUBF,2023,61,2.98579353289,0.660385213276,40.2834980099,-4.80732720716,8.3796039408,0.524590163934
T3,M30,USDRUBF,2024,61,1.96867071953,0.393825370675,24.0233476112,-3.93355911597,6.10728017628,0.491803278689
T3,M30,CNYRUBF,2023,61,1.67665055576,0.301709939129,18.4043062869,-4.85608391774,3.78994815547,0.426229508197
T3,M30,CNYRUBF,2024,58,1.24736198837,0.123941780195,7.18862325129,-9.44017559739,0.761492535508,0.362068965517
T3,M30,GLDRUBF,2023,26,1.15360217857,0.073736845327,1.9171579785,-5.68789681329,0.337059205087,0.346153846154
T3,M30,GLDRUBF,2024,68,1.37350284396,0.174455485985,11.862973047,-6.27842338966,1.88948280655,0.382352941176
T3,M30,IMOEXF,2023,4,1.31274111725,0.134259265188,0.537037060751,-1.71719365035,0.312741117253,0.5
T3,M30,IMOEXF,2024,59,2.17770317124,0.44437799404,26.2183016484,-4.0959911616,6.40096636296,0.474576271186
T3,H1,USDRUBF,2023,31,2.63761868614,0.559152265101,17.3337202181,-3.19221455508,5.42999849134,0.548387096774
T3,H1,USDRUBF,2024,33,1.82572903158,0.316494046225,10.4443035254,-4.24208135853,2.4620705363,0.424242424242
T3,H1,CNYRUBF,2023,25,0.996978487425,-0.00167353483521,-0.0418383708802,-8.22378415543,-0.00508748406931,0.28
T3,H1,CNYRUBF,2024,27,3.66606543981,0.990232965991,26.7362900818,-2.68739303362,9.94878298309,0.518518518519
T3,H1,GLDRUBF,2023,6,0.789067316298,-0.0800730918346,-0.480438551007,-1.73293799401,-0.277239319969,0.333333333333
T3,H1,GLDRUBF,2024,35,2.33225802262,0.411915013633,14.4170254772,-3.25920652871,4.4234771102,0.514285714286
T3,H1,IMOEXF,2023,0,,,0,0,,
T3,H1,IMOEXF,2024,27,2.54740564919,0.509783547462,13.7641557815,-5.1894859844,2.65231582142,0.481481481481
