strategy,timeframe,instrument,year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
T2,M30,USDRUBF,2024,5,7,1.73904870541,0.234318754734,1.64023128314,-2.21938185012,0.739048705409,0.428571428571
T2,M30,USDRUBF,2024,6,5,4.35918382544,1.45542721349,7.27713606744,-1.16042633602,6.27108834187,0.4
T2,M30,USDRUBF,2024,7,4,2.56670589298,0.540377817826,2.1615112713,-1.03561181003,2.08718291001,0.25
T2,M30,USDRUBF,2024,8,3,5.31094483975,1.07275404721,3.21826214162,-0.746532897371,4.31094483975,0.666666666667
T2,M30,USDRUBF,2024,9,5,0.194265513934,-0.326035820194,-1.63017910097,-2.02322120892,-0.805734486066,0.6
T2,M30,USDRUBF,2024,10,5,0.787183229593,-0.086349579191,-0.431747895955,-1.75535102073,-0.24596100202,0.2
T2,M30,USDRUBF,2024,11,5,6.10410550227,2.51824226013,12.5912113007,-2.46687912213,5.10410550227,0.4
T2,M30,USDRUBF,2024,12,6,1.47236539153,0.204857629894,1.22914577937,-2.01822443065,0.609023337891,0.333333333333
T2,M30,CNYRUBF,2023,1,4,0.484244600195,-0.329667343862,-1.31866937545,-2.13914686709,-0.616446395399,0.25
T2,M30,CNYRUBF,2023,2,3,0.339966642116,-0.171934068376,-0.515802205129,-0.781478994915,-0.660033357884,0.666666666667
T2,M30,CNYRUBF,2023,3,4,2.99897271392,0.741841455364,2.96736582146,-1.09111661805,2.71956798418,0.5
T2,M30,CNYRUBF,2023,4,3,6.72157153289,1.44219990383,4.32659971149,-0.756190792445,5.72157153289,0.666666666667
T2,M30,CNYRUBF,2023,5,2,0,-0.255689269908,-0.511378539816,-0.511378539816,-1,0
T2,M30,CNYRUBF,2023,6,2,25.1973131096,2.92345403805,5.84690807609,-0.241634600074,24.1973131096,0.5
T2,M30,CNYRUBF,2023,7,2,1.78329061492,0.398457676654,0.796915353309,-1.01739423163,0.78329061492,0.5
T2,M30,CNYRUBF,2023,8,7,3.1370020999,0.465724768256,3.26007337779,-1.0310707525,3.1618328518,0.571428571429
T2,M30,CNYRUBF,2023,9,3,1.2889148288,0.140018892651,0.420056677954,-1.45391179713,0.288914828798,0.333333333333
