year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,1,0,,,0,0,,
2023,2,1,0,-0.82969391806,-0.82969391806,-0.82969391806,-1,0
2023,3,2,0.968161936991,-0.0112865336156,-0.0225730672311,-0.708996248452,-0.0318380630087,0.5
2023,4,1,,2.12076391051,2.12076391051,0,,1
2023,5,1,0,-0.766930138188,-0.766930138188,-0.766930138188,-1,0
2023,6,4,3.78903562048,1.20212854173,4.80851416692,-1.44501798488,3.32765004811,0.25
2023,7,2,3.76133331933,0.978056239225,1.95611247845,-0.708394189414,2.76133331933,0.5
2023,8,3,5.16138229835,1.51546056911,4.54638170734,-1.09251719294,4.16138229835,0.333333333333
2023,9,2,0,-0.763758201998,-1.527516404,-1.527516404,-1,0
2023,10,3,24.5570099733,1.51154998771,4.53464996314,-0.192496839296,23.5570099733,0.666666666667
2023,11,0,,,0,0,,
2023,12,4,0.30628927056,-0.378890173741,-1.51556069497,-1.68057646297,-0.901810020761,0.25
2024,1,1,,0.0682959200644,0.0682959200644,0,,1
2024,2,2,3.09761372454,0.697929581202,1.3958591624,-0.665451005623,2.09761372454,0.5
2024,3,2,0,-0.79336082783,-1.58672165566,-1.58672165566,-1,0
2024,4,3,0.324341864995,-0.335959604464,-1.00787881339,-1.49169936862,-0.675658135005,0.333333333333
2024,5,2,3.49176229466,1.25327741979,2.50655483959,-1.00593657949,2.49176229466,0.5
2024,6,2,0,-0.287528081173,-0.575056162345,-0.575056162345,-1,0
2024,7,1,0,-1.00481100732,-1.00481100732,-1.00481100732,-1,0
2024,8,3,0.0595185137209,-0.393833518375,-1.18150055512,-1.18150055512,-1,0.333333333333
2024,9,3,1.11491482131,0.0416539723075,0.124961916922,-0.63823128801,0.195794094194,0.333333333333
2024,10,6,2.05951927012,0.45195124167,2.71170745002,-1.59878484317,1.69610530247,0.333333333333
2024,11,5,24.8132977512,4.79578117878,23.9789058939,-1.00695443968,23.8132977512,0.8
2024,12,0,,,0,0,,
