trade_id,symbol,direction,gross_R,MFE_R,exit_efficiency
CNY-000004,CNY,LONG,0.5661651235535263,1.992184772070903,0.2841930786194044
Si-000005,Si,LONG,0.7622843995333245,2.3507949221345794,0.32426665225274165
CNY-000005,CNY,LONG,4.9243682992293305,7.276787856186774,0.6767228063468416
Si-000006,Si,LONG,5.228946514064601,7.5361640337631925,0.6938472266046896
Si-000008,Si,SHORT,2.3721779478135883,4.3454829580751095,0.5458951216010237
CNY-000007,CNY,SHORT,2.507490506441367,4.353658705641857,0.5759501779944161
CNY-000008,CNY,SHORT,0.5867486036364461,2.0378687815742116,0.28792266162652286
Si-000009,Si,SHORT,0.2214451079468177,1.6789468312391747,0.13189524756026758
Si-000010,Si,LONG,0.16530695775055151,1.3114553396892277,0.12604848426613133
Si-000011,Si,LONG,0.241428198486371,1.4979589175868928,0.1611714417877995
CNY-000011,CNY,LONG,3.409676338711304,6.137417409680338,0.5555555555555565
Si-000015,Si,LONG,4.2600922041074805,17.580380504274554,0.24232081911262768
Si-000017,Si,LONG,1.7531445666137502,3.41990921352778,0.5126289784766853
Si-000018,Si,LONG,1.3606035354146635,3.4353552308127147,0.3960590518299269
CNY-000015,CNY,LONG,4.825104336400247,7.050597026418732,0.6843540083656011
Si-000019,Si,LONG,1.351052278492148,3.116270954731445,0.4335477556727988
CNY-000017,CNY,LONG,2.071011214094761,3.894817870799366,0.531735059968211
Si-000021,Si,LONG,3.514096288743838,5.3646010307565914,0.6550526811959828
Si-000023,Si,LONG,0.09562093080380508,1.433654351769554,0.06669733934527562
Si-000030,Si,SHORT,0.5115187373549888,1.4868015647329431,0.34403968188375356
CNY-000022,CNY,SHORT,0.38788010671558115,1.5350534569614838,0.2526818235264321
Si-000032,Si,SHORT,0.6022032386977297,1.7853579814656584,0.3373011154902176
CNY-000024,CNY,SHORT,2.8942810440851994,4.159643941974641,0.69580018974202
Si-000035,Si,SHORT,1.5612849417961006,2.753670586302909,0.56698319311036
Si-000037,Si,LONG,0.30795537377393833,1.799396670798466,0.17114368319759418
CNY-000030,CNY,SHORT,1.5504781827377594,3.2732317191130686,0.47368421052631277
CNY-000033,CNY,SHORT,2.5134803655009392,4.594732923723156,0.5470351394144237
CNY-000034,CNY,SHORT,0.32031843015962747,1.4746530217726896,0.21721613520621325
Si-000045,Si,SHORT,1.5877425521261783,2.583689939676612,0.614525190404584
CNY-000037,CNY,SHORT,13.994410684464109,18.878910040113155,0.7412721738029019
Si-000047,Si,SHORT,9.388159478760157,12.098231301340073,0.7759943784278838
Si-000050,Si,LONG,0.5413764438480353,2.1887864352246393,0.24734091692800206
Si-000052,Si,LONG,1.5984578588837794,2.5688709941601475,0.6222413902907454
CNY-000038,CNY,LONG,0.21107361970511704,1.73277650893337,0.12181237373482502
CNY-000039,CNY,LONG,1.3870894521171977,2.078804666781464,0.6672533856991848
Si-000054,Si,LONG,0.8354997283791823,1.8975968722598193,0.44029358426597653
CNY-000040,CNY,LONG,0.5061045016308885,1.7904838810348056,0.2826635341382614
CNY-000042,CNY,LONG,0.4257320204436559,2.075443599662828,0.20512820512820457
Si-000055,Si,LONG,1.4288444010535053,2.663600815524854,0.536433384734475
Si-000056,Si,LONG,0.9757194914750018,2.2477553739154876,0.4340861567045629
CNY-000043,CNY,LONG,2.283697764349155,4.020633455856555,0.5679945186305565
Si-000058,Si,LONG,0.8248864366251224,2.417857569463043,0.34116419719806446
CNY-000046,CNY,LONG,3.8444271625761623,5.959931113545444,0.6450455700467298
Si-000059,Si,LONG,3.2408631340456346,5.032322121667962,0.644009476279601
CNY-000047,CNY,LONG,2.5069820472716753,4.615692718341216,0.5431431857042321
Si-000060,Si,LONG,2.5124546304364226,4.41246941973987,0.5693987632405031
Si-000061,Si,LONG,0.30008462319208246,1.8843047120283416,0.15925482820082706
