group,trades,median_MAE_R,mean_MAE_R,p75_MAE_R,p90_MAE_R,median_MFE_R,mean_MFE_R,p75_MFE_R,p90_MFE_R
All,109,0.5561543978770446,0.5539148371622372,0.9663216478038305,1.0,1.2226387394589657,2.0516281624074373,2.3507949221345794,4.598924882646768
Winning,47,0.17813529634221437,0.2506479043985853,0.3335789865197737,0.5498169475699217,2.663600815524854,4.038830002486122,4.503601171731513,7.141073358325948
Losing,62,0.9378680271305717,0.7838107378056506,1.0,1.0,0.43046862174206524,0.5452009610574672,0.79310082626543,1.256215516737531
