month,return_R,trades,drawdown
2023-02,-0.8952230980617659,2,-0.8952230980617659
2023-03,0.3468473307560902,4,-1.0
2023-04,-1.5097828581856503,2,-1.5097828581856503
2023-05,-1.0,1,-1.0
2023-07,4.076125739294533,1,0.0
2023-08,-1.0,1,-1.0
2023-10,3.780244843519151,1,0.0
2023-11,-1.420648420045936,3,-1.420648420045936
2023-12,-0.8369744844249094,2,-0.8369744844249094
2024-02,-0.9419274177267528,1,-0.9419274177267528
2024-03,1.115398251660484,1,0.0
2024-07,-1.794978016424749,3,-1.794978016424749
2024-08,-0.5329952279734794,1,-0.5329952279734794
2024-09,0.4188468923210965,1,0.0
2024-10,-2.0903618510194204,3,-2.0903618510194204
2024-12,-0.187654166793298,1,-0.187654166793298
