trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,year
T2-CNY-H1-000014,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-10-10 16:00:00+03:00,2023-10-10 17:00:00+03:00,2023-10-10 17:00:00+03:00,13.71,13.6330222479,0.0769777521328,76.9777521328,2023-10-11 12:00:00+03:00,13.681,EMA50_TREND_LOSS,10,-0.376732227124,0.0259815329051,-0.402713760029,0.766455220701,1.48094737559,2023-10-10 11:00:00+03:00,1,14405.1555267,2023
T2-CNY-H1-000015,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-10-19 20:00:00+03:00,2023-10-19 21:00:00+03:00,2023-10-19 21:00:00+03:00,13.209,13.2667372405,0.0577372404715,57.7372404715,2023-10-23 10:00:00+03:00,13.0831204944,ATR_TRAILING_STOP,19,2.18021340472,0.0346396880707,2.14557371665,0.207838128424,3.61984740339,2023-10-19 19:00:00+03:00,1,19128.2244239,2023
T2-CNY-H1-000016,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-10-30 10:00:00+03:00,2023-10-30 11:00:00+03:00,2023-10-30 11:00:00+03:00,12.754,12.8454360911,0.0914360911264,91.4360911264,2023-10-30 20:00:00+03:00,12.7850309703,ATR_TRAILING_STOP,9,-0.339373325582,0.0218732010015,-0.361246526583,0,1.19208945458,2023-10-27 16:00:00+03:00,1,12337.6538663,2023
T2-CNY-H1-000017,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-11-21 16:00:00+03:00,2023-11-21 19:00:00+03:00,2023-11-21 19:00:00+03:00,12.3,12.3373670735,0.0373670735112,37.3670735112,2023-11-22 14:00:00+03:00,12.3373670735,INITIAL_STOP,10,-1,0.0535230568538,-1.05352305685,0.749322795953,1.33807642134,2023-11-21 10:00:00+03:00,3,30080.8035204,2023
T2-CNY-H1-000018,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2023-11-30 10:00:00+03:00,2023-11-30 13:00:00+03:00,2023-11-30 13:00:00+03:00,12.394,12.4264905184,0.0324905183563,32.4905183563,2023-11-30 16:00:00+03:00,12.424,EMA50_TREND_LOSS,3,-0.923346302791,0.061556420186,-0.984902722977,0.769455252325,0.0923346302791,2023-11-30 00:00:00+03:00,3,34231.2071538,2023
T2-CNY-H1-000019,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-02 23:00:00+03:00,2024-02-03 00:00:00+03:00,2024-02-03 00:00:00+03:00,12.598,12.5850471018,0.0129528981911,12.9528981911,2024-02-05 16:00:00+03:00,12.5856222596,ATR_TRAILING_STOP,7,-0.955596211741,0.154405598693,-1.11000181043,0,6.09902114836,2024-02-02 19:00:00+03:00,1,85018.4770892,2024
T2-CNY-H1-000020,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2024-02-16 23:00:00+03:00,2024-02-19 10:00:00+03:00,2024-02-19 10:00:00+03:00,12.724,12.6758842781,0.0481157219007,48.1157219007,2024-02-21 16:00:00+03:00,12.7828878812,ATR_TRAILING_STOP,36,1.22388023764,0.0415664552249,1.18231378242,0.0207832276125,2.3277214926,2024-02-16 16:00:00+03:00,2,22633.1830661,2024
T2-CNY-H1-000021,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-03-29 14:00:00+03:00,2024-03-29 16:00:00+03:00,2024-03-29 16:00:00+03:00,12.682,12.7174673954,0.0354673954111,35.4673954111,2024-04-01 10:00:00+03:00,12.7124559012,ATR_TRAILING_STOP,9,-0.858701373881,0.0563898187847,-0.915091192665,0.563898187847,1.04321164752,2024-03-29 12:00:00+03:00,2,31067.6176709,2024
T2-CNY-H1-000022,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-04-26 12:00:00+03:00,2024-04-26 13:00:00+03:00,2024-04-26 13:00:00+03:00,12.655,12.7063218643,0.0513218643384,51.3218643384,2024-04-27 10:00:00+03:00,12.583,ATR_TRAILING_STOP,12,1.40291084371,0.0389697456587,1.36394109806,0.0584546184881,2.96170067006,2024-04-26 11:00:00+03:00,1,21273.6660915,2024
T2-CNY-H1-000023,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2024-05-22 13:00:00+03:00,2024-05-22 15:00:00+03:00,2024-05-22 15:00:00+03:00,12.428,12.4593350768,0.0313350767513,31.3350767513,2024-05-27 16:00:00+03:00,12.2290040263,ATR_TRAILING_STOP,46,6.35058197815,0.0638262358786,6.28675574227,0.702088594664,8.80802055124,2024-05-22 12:00:00+03:00,2,35318.1126754,2024
