year,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,losing_streak,average_holding_time
2023,BASELINE,398,0.301507537688,0.945593669261,-0.0324512258211,-12.9155878768,-55.0561678314,-0.234589300083,18,122.047738693
2024,BASELINE,432,0.303240740741,1.26297581468,0.147164797083,63.57519234,-26.0258757521,2.4427686102,15,120.266203704
2023,SESSION_CANDIDATE,237,0.31223628692,1.29054139505,0.15910216037,37.7072120077,-23.4212239618,1.60995907256,14,82.8270042194
2024,SESSION_CANDIDATE,298,0.295302013423,1.33559019156,0.185150626499,55.1748866967,-19.9714959664,2.76268171346,16,74.0268456376
