variant,month,trades,PF,net_R,positive_months,negative_months,largest_losing_month_R,largest_winning_month_R
EMA50_NORMAL,2023-07,12,0.870950146154,-0.723491184572,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2023-08,9,3.43551216694,11.2789172892,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2023-09,11,0.344843586683,-4.52736307973,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2023-10,9,1.47198221283,2.05703919318,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2023-11,13,1.02209517734,0.173487003531,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2023-12,12,4.91125068511,17.1235926444,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-01,14,0.410050603876,-3.84707905879,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-02,12,2.92725475038,10.2934188327,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-03,17,2.2957490515,10.3835358828,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-04,16,1.86850625404,7.7087414216,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-05,7,2.65787751841,7.04077356143,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-06,2,0,-0.963982920597,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-07,10,0.165332227551,-6.09722777053,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-08,12,1.21725344407,1.25471034676,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-09,15,1.29869656947,3.19041375476,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-10,12,0.349720375691,-3.9937161141,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-11,13,6.14633524325,26.9390961046,14,10,-10.4521501113,26.9390961046
EMA50_NORMAL,2024-12,11,2.4849675411,6.06729970827,14,10,-10.4521501113,26.9390961046
EMA50_EXTENDED,2023-01,15,0.678089453736,-2.18431239895,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-02,20,1.00728238909,0.0855608236285,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-03,18,1.42132165627,3.89746998055,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-04,17,0.770339074476,-2.97785856387,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-05,17,0.133473994274,-10.4269742987,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-06,21,0.917100311386,-1.07473824667,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-07,25,1.6712230558,6.93275958535,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-08,26,0.521334977021,-9.75189234879,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-09,21,0.201129822207,-11.0043999108,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-10,18,0.835985433556,-1.72434029602,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-11,31,0.870573708808,-2.64377627398,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2023-12,30,1.06233784977,1.03578304187,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-01,24,0.647517621175,-5.46440640637,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-02,18,0.0887007815828,-14.334493107,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-03,20,1.39219079935,4.62617470173,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-04,21,0.299128565627,-11.7368817574,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-05,27,1.3479209509,5.80031298007,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-06,18,2.59213375414,11.7187773799,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-07,25,0.178516301885,-14.0560643879,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-08,23,0.515714318152,-7.29314447585,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-09,26,1.62762265049,7.46246820384,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-10,22,1.24575929158,2.6696623152,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-11,20,1.48376178095,4.01102549118,11,13,-14.334493107,11.7187773799
EMA50_EXTENDED,2024-12,28,1.7928187037,10.9314916852,11,13,-14.334493107,11.7187773799
SESSION_EMA50_NORMAL,2023-01,8,0,-6.65985967436,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-02,6,5.95505154393,7.85528803304,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-03,5,0.203932203148,-2.71350386281,14,10,-6.65985967436,24.6622428673
SESSION_EMA50_NORMAL,2023-04,6,4.90151255107,10.4631558154,14,10,-6.65985967436,24.6622428673
