variant,drawdown_period,start,trough,recovery,duration_minutes,depth_R,instrument_contribution_R,direction_contribution_R,session_contribution_R
SESSION_CANDIDATE,23,2024-12-13T13:20:00+00:00,2024-12-23T14:20:00+00:00,2024-12-30T11:35:00+00:00,24375,-5.2330325133,CNYRUBF:-1.40474649218|USDRUBF:-3.82828602112,LONG:-2.793765729|SHORT:-2.4392667843,Session_B:-5.2330325133
SESSION_EMA50_NORMAL,1,2023-01-10T12:55:00+00:00,2023-01-31T12:25:00+00:00,2023-02-17T14:15:00+00:00,54800,-6.65985967436,CNYRUBF:-4.75924419925|USDRUBF:-1.90061547511,LONG:-3.48351973173|SHORT:-3.17633994263,Session_B:-6.65985967436
SESSION_EMA50_NORMAL,2,2023-03-10T07:55:00+00:00,2023-03-24T09:05:00+00:00,2023-04-03T13:25:00+00:00,34890,-3.40863413084,CNYRUBF:-1.02140190685|USDRUBF:-2.38723222399,LONG:-2.38723222399|SHORT:-1.02140190685,Session_B:-3.40863413084
SESSION_EMA50_NORMAL,3,2023-04-24T10:20:00+00:00,2023-06-01T13:20:00+00:00,2023-08-01T19:55:00+00:00,143135,-4.38851652934,CNYRUBF:-1.09412022865|USDRUBF:-3.29439630069,LONG:-1.09412022865|SHORT:-3.29439630069,Session_B:-4.38851652934
SESSION_EMA50_NORMAL,4,2023-08-28T08:20:00+00:00,2023-10-17T09:40:00+00:00,2023-12-21T09:40:00+00:00,165680,-10.7673331615,CNYRUBF:-2.91221663896|USDRUBF:-7.8551165225,LONG:-6.51307890569|SHORT:-4.25425425577,Session_B:-10.7673331615
SESSION_EMA50_NORMAL,5,2023-12-25T09:25:00+00:00,2023-12-25T09:25:00+00:00,2023-12-29T08:55:00+00:00,5730,-1.02311548596,USDRUBF:-1.02311548596,LONG:-1.02311548596,Session_B:-1.02311548596
SESSION_EMA50_NORMAL,6,2024-01-10T13:15:00+00:00,2024-03-14T12:15:00+00:00,2024-03-22T09:35:00+00:00,103460,-6.76369089,CNYRUBF:-1.97468887639|USDRUBF:-4.78900201361,LONG:-5.79972014949|SHORT:-0.963970740515,Session_B:-6.76369089
SESSION_EMA50_NORMAL,7,2024-03-22T13:25:00+00:00,2024-04-05T08:10:00+00:00,2024-04-09T10:50:00+00:00,25765,-4.21434647022,CNYRUBF:-1.12653625193|USDRUBF:-3.08781021829,LONG:-2.05742160839|SHORT:-2.15692486183,Session_B:-4.21434647022
SESSION_EMA50_NORMAL,8,2024-04-17T09:35:00+00:00,2024-04-17T09:45:00+00:00,2024-04-19T10:40:00+00:00,2945,-1.86053498477,CNYRUBF:-1.116776912|USDRUBF:-0.743758072772,LONG:-1.86053498477,Session_B:-1.86053498477
SESSION_EMA50_NORMAL,9,2024-04-25T08:40:00+00:00,2024-05-08T13:20:00+00:00,2024-05-10T10:00:00+00:00,21680,-2.92852778778,CNYRUBF:-2.3996992073|USDRUBF:-0.528828580475,LONG:-1.22956300367|SHORT:-1.69896478411,Session_B:-2.92852778778
SESSION_EMA50_NORMAL,10,2024-05-22T07:05:00+00:00,2024-08-12T09:40:00+00:00,2024-09-06T16:10:00+00:00,154625,-10.3888959211,CNYRUBF:-4.1681213463|USDRUBF:-6.22077457484,LONG:-6.95484033083|SHORT:-3.4340555903,Session_B:-10.3888959211
SESSION_EMA50_NORMAL,11,2024-09-09T14:25:00+00:00,2024-11-19T08:50:00+00:00,2024-11-27T13:40:00+00:00,113715,-13.052597718,CNYRUBF:-6.78780970028|USDRUBF:-6.26478801776,LONG:-7.00551153095|SHORT:-6.04708618709,Session_B:-13.052597718
SESSION_EMA50_NORMAL,12,2024-12-16T09:15:00+00:00,2024-12-27T07:50:00+00:00,2024-12-30T11:35:00+00:00,20300,-2.09421723818,CNYRUBF:-0.813504567146|USDRUBF:-1.28071267103,LONG:-0.377524502104|SHORT:-1.71669273607,Session_B:-2.09421723818
