variant,dimension,period,contribution_R,share_of_positive_R
BASELINE,trade,TOP_1,14.6330396258,0.0276197293864
BASELINE,trade,TOP_5,61.0793255925,0.115286672292
BASELINE,year,2023,224.475680776,0.423695808623
BASELINE,year,2024,305.328193153,0.576304191377
BASELINE,month,2023-01,4.60115152666,0.00868463171576
BASELINE,month,2023-02,30.1802999094,0.0569650419608
BASELINE,month,2023-03,13.8431809451,0.0261288783007
BASELINE,month,2023-04,23.1918843838,0.0437744711299
BASELINE,month,2023-05,1.98148321425,0.0037400315697
BASELINE,month,2023-06,16.6830902311,0.031489181284
BASELINE,month,2023-07,22.1441086181,0.0417968038886
BASELINE,month,2023-08,26.531153872,0.0500773119593
BASELINE,month,2023-09,5.15354547548,0.00972727027695
BASELINE,month,2023-10,15.2043333276,0.0286980410597
BASELINE,month,2023-11,25.8084021848,0.0487131247142
BASELINE,month,2023-12,39.1530470877,0.0739010207633
BASELINE,month,2024-01,12.7121839295,0.0239941317061
BASELINE,month,2024-02,18.6973366252,0.0352910530581
BASELINE,month,2024-03,34.8189745418,0.0657204981979
BASELINE,month,2024-04,21.5938479748,0.0407581919223
BASELINE,month,2024-05,33.7592994229,0.0637203710356
BASELINE,month,2024-06,21.6881107695,0.0409361120911
BASELINE,month,2024-07,15.7645474054,0.0297554400433
BASELINE,month,2024-08,14.7964873053,0.0279282353969
BASELINE,month,2024-09,35.9399827064,0.0678363909268
BASELINE,month,2024-10,15.6803978854,0.0295966085886
BASELINE,month,2024-11,44.4760626554,0.0839481643001
BASELINE,month,2024-12,35.4009619316,0.0668189941102
SESSION_CANDIDATE,trade,TOP_1,14.6330396258,0.0378040303675
SESSION_CANDIDATE,trade,TOP_5,61.0793255925,0.157796653229
SESSION_CANDIDATE,year,2023,167.489792561,0.43270498585
SESSION_CANDIDATE,year,2024,219.586386448,0.56729501415
SESSION_CANDIDATE,month,2023-01,3.12945469195,0.0080848547693
SESSION_CANDIDATE,month,2023-02,20.5495243028,0.0530890956798
SESSION_CANDIDATE,month,2023-03,10.0550895112,0.0259770299916
SESSION_CANDIDATE,month,2023-04,18.2233381803,0.0470794617922
SESSION_CANDIDATE,month,2023-05,1.60610287359,0.00414931985146
SESSION_CANDIDATE,month,2023-06,15.4927027032,0.0400249448127
SESSION_CANDIDATE,month,2023-07,12.6336520658,0.0326386710184
SESSION_CANDIDATE,month,2023-08,22.0637715811,0.0570011092843
SESSION_CANDIDATE,month,2023-09,2.97301854618,0.007680706557
SESSION_CANDIDATE,month,2023-10,13.3288044317,0.0344345768468
SESSION_CANDIDATE,month,2023-11,12.1393448481,0.0313616427627
SESSION_CANDIDATE,month,2023-12,35.2949888256,0.091183572484
SESSION_CANDIDATE,month,2024-01,8.82495672389,0.0227990178741
SESSION_CANDIDATE,month,2024-02,4.43118993451,0.0114478497381
SESSION_CANDIDATE,month,2024-03,19.612734012,0.0506689253318
SESSION_CANDIDATE,month,2024-04,17.3195431712,0.0447445337905
SESSION_CANDIDATE,month,2024-05,27.3399644641,0.070631999453
SESSION_CANDIDATE,month,2024-06,12.0671670464,0.0311751735209
SESSION_CANDIDATE,month,2024-07,15.7645474054,0.0407272476589
SESSION_CANDIDATE,month,2024-08,10.7511193856,0.0277752028377
SESSION_CANDIDATE,month,2024-09,33.4716873604,0.0864731264167
SESSION_CANDIDATE,month,2024-10,4.73482679561,0.012232286698
SESSION_CANDIDATE,month,2024-11,33.2544581849,0.0859119211881
SESSION_CANDIDATE,month,2024-12,32.0141919644,0.0827077296419
SESSION_EMA50_NORMAL,trade,TOP_1,14.6330396258,0.0834278101457
SESSION_EMA50_NORMAL,trade,TOP_5,54.9879345898,0.313504445049
SESSION_EMA50_NORMAL,year,2023,78.7990202659,0.449259338492
SESSION_EMA50_NORMAL,year,2024,96.5986031434,0.550740661508
SESSION_EMA50_NORMAL,month,2023-01,0,0
SESSION_EMA50_NORMAL,month,2023-02,9.44059707844,0.0538239737514
SESSION_EMA50_NORMAL,month,2023-03,0.695130268027,0.00396316811206
SESSION_EMA50_NORMAL,month,2023-04,13.1449761808,0.0749438671132
SESSION_EMA50_NORMAL,month,2023-05,0,0
SESSION_EMA50_NORMAL,month,2023-06,3.6031190732,0.0205425763654
SESSION_EMA50_NORMAL,month,2023-07,3.84317620911,0.0219112216825
SESSION_EMA50_NORMAL,month,2023-08,15.9047006699,0.0906779713475
SESSION_EMA50_NORMAL,month,2023-09,0.793924080626,0.00452642439045
SESSION_EMA50_NORMAL,month,2023-10,6.41533731815,0.0365759649045
SESSION_EMA50_NORMAL,month,2023-11,5.64787135622,0.0322003870203
SESSION_EMA50_NORMAL,month,2023-12,19.3101880314,0.110093783804
SESSION_EMA50_NORMAL,month,2024-01,0.564697232468,0.00321952613434
SESSION_EMA50_NORMAL,month,2024-02,1.36824682661,0.00780082876846
SESSION_EMA50_NORMAL,month,2024-03,9.56575046287,0.0545375146877
SESSION_EMA50_NORMAL,month,2024-04,13.5144926704,0.0770506031248
SESSION_EMA50_NORMAL,month,2024-05,11.2876334671,0.0643545405444
SESSION_EMA50_NORMAL,month,2024-06,0,0
SESSION_EMA50_NORMAL,month,2024-07,1.20774789978,0.00688577117697
SESSION_EMA50_NORMAL,month,2024-08,6.8396511173,0.0389951185447
SESSION_EMA50_NORMAL,month,2024-09,13.8715332617,0.0790862099043
SESSION_EMA50_NORMAL,month,2024-10,0.771402397904,0.00439802081071
SESSION_EMA50_NORMAL,month,2024-11,29.3566796807,0.167372163374
SESSION_EMA50_NORMAL,month,2024-12,8.25076812672,0.0470403644379
