variant,direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,LONG,470,1.16208246394,0.0890098182089,41.8346145582,-40.6634260435,1.02880201273,0.327659574468
BASELINE,SHORT,360,1.03992534359,0.0245138608473,8.82498990504,-60.1287002433,0.146768346386,0.269444444444
SESSION_FILTER,LONG,301,1.55029959165,0.276757308662,83.3039499073,-17.9522839045,4.64029815652,0.335548172757
SESSION_FILTER,SHORT,234,1.0670669149,0.0409322598165,9.57814879707,-32.7251355525,0.292684770754,0.260683760684
