variant,outcome,trades,average_holding_minutes,median_holding_minutes
BASELINE,ALL,830,121.120481928,50
BASELINE,WINNER,251,180.796812749,145
BASELINE,LOSER,579,95.2504317789,35
SESSION_FILTER,ALL,535,77.9252336449,50
SESSION_FILTER,WINNER,162,154.382716049,132.5
SESSION_FILTER,LOSER,373,44.7184986595,35
