variant,instrument,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,USDRUBF,456,1.33197387166,0.172814997093,78.8036386744,-26.1997927363,3.00779626264,0.328947368421
BASELINE,CNYRUBF,374,0.88358940542,-0.075251428372,-28.1440342111,-52.9627934905,-0.5313925561,0.270053475936
SESSION_FILTER,USDRUBF,302,1.57694259768,0.287304006692,86.7658100209,-15.9580057399,5.4371336516,0.32119205298
SESSION_FILTER,CNYRUBF,233,1.04253179311,0.0262501660234,6.11628868346,-18.4152461172,0.33213179148,0.278969957082
