variant,session,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
BASELINE,Session_A,45,1.34467706693,0.214075245639,9.63338605374,-19.0273690779,0.506291017655,0.311111111111
BASELINE,Session_B,536,1.3128231923,0.17207760738,92.2335975556,-23.4212239618,3.93803490825,0.30223880597
BASELINE,Session_C,249,0.672487974635,-0.205652125085,-51.2073791461,-64.6405433984,-0.792186705959,0.301204819277
SESSION_FILTER,10:00-17:00,535,1.31571708924,0.173611399447,92.8820987044,-23.4212239618,3.9657235188,0.302803738318
