split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,1431,1.11708039524,0.0629627966756,90.0997620427,-46.8584781428,1.9228059812,0.33892382949,114.196366177,17,0.0191431232391,0.0671071296999
train,strategy,T2,603,1.02397295269,0.0142778567424,8.60954761565,-56.4226125007,0.152590375278,0.298507462687,128.266998342,18,0.0353023314313,0.11977473361
train,strategy,T3,828,1.19855382494,0.098418133366,81.4902144271,-42.8121622922,1.90343608134,0.368357487923,103.949275362,15,0.0334542997873,0.105334224341
train,instrument,USDRUBF,792,1.31023268715,0.152880837178,121.081623045,-30.5538447212,3.96289318579,0.362373737374,94.7348484848,12,0.0321808551347,0.0974585459194
train,instrument,CNYRUBF,639,0.918310076204,-0.0484849154967,-30.9818610024,-65.011136184,-0.476562367941,0.30985915493,138.317683881,17,0.0372754004025,0.131943018002
train,direction,LONG,790,1.0721360953,0.0378566059717,29.9067187176,-54.8234599156,0.545509509317,0.353164556962,126.284810127,19,0.0292068435277,0.0976068125509
train,direction,SHORT,641,1.16957353115,0.0939049037833,60.1930433251,-41.7461851369,1.44188129113,0.321372854914,99.2979719189,17,0.0396388385304,0.125876276373
test,portfolio,COMBINED,530,1.18122222709,0.0907360240364,48.0900927393,-41.4222118592,1.16097355937,0.358490566038,97.7547169811,13,0.0466830031609,0.177827635819
test,strategy,T2,227,1.35039266243,0.185242541179,42.0500568476,-20.1350129458,2.08840475846,0.312775330396,102.136563877,13,0.0902948321345,0.343956374654
test,strategy,T3,303,1.04155313377,0.0199341118538,6.0400358917,-29.3212104369,0.205995448404,0.392739273927,94.4719471947,12,0.0420535074682,0.156354886157
test,instrument,USDRUBF,268,1.46793147233,0.207768653787,55.681999215,-19.2565257636,2.89159113635,0.39552238806,103.638059701,9,0.0837714828692,0.271329903825
test,instrument,CNYRUBF,262,0.948131823183,-0.0289767422739,-7.59190647576,-30.5874172719,-0.248203580193,0.320610687023,91.7366412214,12,0.0828829894629,0.292709212028
test,direction,LONG,328,1.23647610565,0.115438994205,37.8639900994,-29.5205626934,1.28263104239,0.381097560976,103.00304878,10,0.0739111070471,0.255167153928
test,direction,SHORT,202,1.09716224683,0.0506242704946,10.2261026399,-23.2344833449,0.440126104295,0.321782178218,89.2326732673,13,0.0996094503732,0.330539050362
