timeframe_pair,strategy,status,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
H4_H1,T2,AVAILABLE,64,2.23414500535,0.634744845757,40.6236701285,-12.8673033865,3.15712382838,0.328125,35.25,17,0.464133106735,2.49973086045
H4_H1,T3,AVAILABLE,101,1.93982646073,0.411464779998,41.5579427798,-10.1016203097,4.11398780648,0.39603960396,34.1386138614,8,0.526531067278,2.01144195475
H1_M30,T2,AVAILABLE,174,1.94452290929,0.446844325,77.7509125499,-10.6138788068,7.32540044646,0.344827586207,21.6666666667,11,0.437182327889,1.90640842901
H1_M30,T3,AVAILABLE,246,1.83593701599,0.37283687281,91.7178707112,-15.4567195061,5.93385101381,0.414634146341,18.9613821138,10,0.597237980356,1.82180628045
H1_M15,T2,AVAILABLE,329,1.59552743483,0.293001675274,96.3975511653,-26.2192384452,3.67659615159,0.367781155015,10.056231003,14,0.409844245648,1.90141950553
H1_M15,T3,AVAILABLE,379,1.67070474765,0.28716577818,108.83582993,-29.4323555027,3.69782941499,0.411609498681,9.42612137203,10,0.598606846563,1.70423543576
