direction,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
LONG,339,1.74519787177,0.355205670193,120.414722195,-14.7532918416,0.418879056047,1.98593171953,-0.820241532886,8.16188844418
SHORT,359,1.19602083318,0.098427755915,35.3355643735,-15.9541564482,0.367688022284,1.6333325414,-0.794115995998,2.21481872065
