quarter,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
2025Q1,77,1.18506345804,0.0940521886708,7.24201852765,-10.146288176,0.337662337662,1.78364005735,-0.767306332615,0.713760382324
2025Q2,84,1.24519656899,0.127601920457,10.7185613184,-16.2272468101,0.321428571429,2.01602660526,-0.7669150355,0.660528643206
2025Q3,93,2.20985837258,0.537518234365,49.989195796,-13.040472218,0.408602150538,2.40282676169,-0.751240384511,3.83338846634
2025Q4,120,1.2415347724,0.117857977684,14.142957322,-6.99597983123,0.425,1.42544111016,-0.848616511538,2.02158348983
2026Q1,93,1.67132358749,0.373099767505,34.698278378,-18.6988938553,0.41935483871,2.21499094758,-0.957154973657,1.85563267253
2026Q2,107,1.46902084055,0.219233796874,23.4580162655,-9.66675293215,0.411214953271,1.66983831927,-0.793886821945,2.42666968217
2026Q3,124,1.2699103745,0.125010152914,15.5012589613,-6.6550890923,0.395161290323,1.48841618858,-0.765748457051,2.32923387597
