symbol,total_trades,PF,expectancy,net_R,max_drawdown,win_rate,average_win,average_loss,recovery_factor
Si,44,2.25077969216,0.49864769251,21.9404984704,-5.36859436349,0.409090909091,2.19344198319,-0.674671431807,4.08682366089
CNY,40,0.832868599045,-0.0862918119752,-3.45167247901,-11.4031347966,0.2,2.15009687402,-0.645388983474,-0.302695051894
GD,47,1.8219506831,0.452118570707,21.2495728232,-8.1701278858,0.468085106383,2.14100844142,-1.03410451552,2.60088619422
BR,54,1.63680763323,0.247196815567,13.3486280406,-5.6638972618,0.444444444444,1.42960076232,-0.698726341835,2.35679205035
MIX,51,0.742414770777,-0.139005740366,-7.08929275864,-10.014749129,0.313725490196,1.27705198641,-0.786346415462,-0.707885206841
NG,61,0.76509721371,-0.119103268043,-7.26529935059,-10.3215755346,0.344262295082,1.12684107849,-0.773224049971,-0.703894412845
