group,metric,trades,mean,median,p05,p95
ALL,MAE_R,297,0.420513479896,0.40579311437,0,0.89097349932
ALL,MFE_R,297,1.50584456003,0.845491905253,0,5.44377598074
WINNERS,MAE_R,109,0.301578957111,0.233386005208,0.00946869042684,0.793074311451
WINNERS,MFE_R,109,3.18185113736,2.49599482502,1.1394190665,7.75166467313
LOSERS,MAE_R,188,0.489470197893,0.499608069705,0,0.904467294925
LOSERS,MFE_R,188,0.534117342325,0.355847762956,0,1.53357518246
EXIT:ATR_TRAILING_STOP,R_result,191,0.737103746801,0.196394432271,-0.849357876969,4.38709141562
EXIT:EMA50_TREND_LOSS,R_result,29,-0.602520424044,-0.650045092361,-0.856021861296,-0.314374126496
EXIT:INITIAL_STOP,R_result,77,-1.09845829345,-1.00158777747,-1.73372629571,-1.00000091057
ALL,holding_hours,297,31.4276094276,21,2,95
