strategy,candidate_id,configuration_id,selection_status,tested_configurations,robust_plateau_configurations,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,concentration_top_1,average_MAE_R,average_MFE_R,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF
T2,T2_M5_candidate_v1,T2-M5-0008-2b0494cdd24b,BASELINE_FALLBACK_NO_QUALIFYING_PLATEAU,19,1,830,1.10572933392,0.0610356680279,50.6596044631,-56.4226125008,0.89785995752,0.302409638554,121.120481928,18,0.0276197293865,0.456994680204,1.55704905772,0.115286672292,-10.4197211294,0.978253478559
T3,T3_M5_candidate_v1,T3-M5-0011-76dd2f3526c3,ROBUST_PLATEAU,22,7,1078,1.19608350747,0.102091322992,110.054446185,-47.8489951928,2.30003672474,0.369202226345,147.769016698,17,0.0236053223066,0.66801581359,1.64636116841,0.0810928086449,55.6154171816,1.09908973647
