variant,dimension,category,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
BASELINE,instrument,CNYRUBF,374,0.270053475936,0.88358940542,-0.075251428372,-28.1440342111,-52.9627934905,-0.5313925561,142.125668449,20,0.0607723925848,0.231023567921
BASELINE,instrument,USDRUBF,456,0.328947368421,1.33197387166,0.172814997093,78.8036386744,-26.1997927363,3.00779626264,103.89254386,11,0.0462803330246,0.160084959966
BASELINE,direction,LONG,470,0.327659574468,1.16208246394,0.0890098182089,41.8346145582,-40.6634260435,1.02880201273,146.244680851,13,0.048786297427,0.190667260084
BASELINE,direction,SHORT,360,0.269444444444,1.03992534359,0.0245138608473,8.82498990504,-60.1287002433,0.146768346386,88.3194444444,16,0.0500398823468,0.185015379836
BASELINE,weekday,Monday,157,0.312101910828,1.21501937928,0.128958670634,20.2465112895,-17.0578840733,1.18692982099,94.076433121,9,0.0852910332475,0.316858414694
BASELINE,weekday,Tuesday,146,0.27397260274,0.774382556446,-0.144668852276,-21.1216524323,-43.9413847763,-0.480677897155,93.3561643836,25,0.15866210719,0.464505816158
BASELINE,weekday,Wednesday,165,0.30303030303,1.16841595798,0.0888649726315,14.6627204842,-23.033655372,0.636578096154,100.303030303,14,0.143848637629,0.393512169677
BASELINE,weekday,Thursday,166,0.301204819277,1.10054813654,0.0631764752068,10.4872948843,-22.6634170529,0.462741115334,85.7228915663,13,0.113097285358,0.374562936728
BASELINE,weekday,Friday,194,0.314432989691,1.26372624765,0.135062580288,26.2021405758,-15.3448778666,1.70754963341,212.164948454,15,0.0971980581241,0.30052281148
BASELINE,session,Session_A,45,0.311111111111,1.34467706693,0.214075245639,9.63338605374,-19.0273690779,0.506291017655,49.6666666667,12,0.200949303777,0.773391140017
BASELINE,session,Session_B,536,0.30223880597,1.3128231923,0.17207760738,92.2335975556,-23.4212239618,3.93803490825,77.8638059701,16,0.0378040303675,0.157796653229
BASELINE,session,Session_C,249,0.301204819277,0.672487974635,-0.205652125085,-51.2073791461,-64.6405433984,-0.792186705959,227.148594378,15,0.0726992061424,0.285674702932
BASELINE,EMA50_distance,near,31,0.225806451613,1.38263153553,0.170343180177,5.28063858548,-8.83319239572,0.597817680054,140.967741935,13,0.602798072498,0.969254894029
BASELINE,EMA50_distance,normal,268,0.317164179104,1.55113313409,0.301793888662,80.8807621615,-15.4695417115,5.22838773572,82.947761194,12,0.0642830923103,0.241562557444
BASELINE,EMA50_distance,extended,531,0.299435028249,0.888565824491,-0.0668583734157,-35.5017962838,-72.9198191229,-0.486860728822,139.22787194,17,0.0344697114254,0.14317007556
SESSION_CANDIDATE,instrument,CNYRUBF,233,0.278969957082,1.04253179311,0.0262501660234,6.11628868346,-18.4152461172,0.33213179148,76.9313304721,17,0.0865938574084,0.327488488466
SESSION_CANDIDATE,instrument,USDRUBF,302,0.32119205298,1.57694259768,0.287304006692,86.7658100209,-15.9580057399,5.4371336516,78.6920529801,10,0.0617024833956,0.21230433955
SESSION_CANDIDATE,direction,LONG,301,0.335548172757,1.55029959165,0.276757308662,83.3039499073,-17.9522839045,4.64029815652,83.6378737542,14,0.0623523049275,0.243686112032
SESSION_CANDIDATE,direction,SHORT,234,0.260683760684,1.0670669149,0.0409322598165,9.57814879707,-32.7251355525,0.292684770754,70.5769230769,16,0.075477775545,0.267831632344
SESSION_CANDIDATE,weekday,Monday,99,0.313131313131,1.40764315435,0.232185701378,22.9863844364,-11.0606502393,2.07821275775,78.3838383838,11,0.122935154627,0.450810937679
SESSION_CANDIDATE,weekday,Tuesday,93,0.258064516129,0.975923988656,-0.0141948178846,-1.32011806327,-17.6858493599,-0.0746426160489,73.1182795699,20,0.214951148382,0.552736656554
SESSION_CANDIDATE,weekday,Wednesday,109,0.311926605505,1.34544228217,0.176411793009,19.228885438,-17.7872831756,1.08104679327,80.871559633,6,0.195384837952,0.470492089037
SESSION_CANDIDATE,weekday,Thursday,102,0.294117647059,1.30444312427,0.185578604701,18.9290176795,-22.2252610295,0.851689330188,71.2745098039,9,0.160067669714,0.515893926871
SESSION_CANDIDATE,weekday,Friday,132,0.325757575758,1.50753792932,0.25043885768,33.0579292138,-7.29173061725,4.53361910211,83.6742424242,10,0.124284972761,0.379167573373
SESSION_CANDIDATE,session,Session_A,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,session,Session_B,535,0.302803738318,1.31571708924,0.173611399447,92.8820987044,-23.4212239618,3.9657235188,77.9252336449,16,0.0378040303675,0.157796653229
SESSION_CANDIDATE,session,Session_C,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SESSION_CANDIDATE,EMA50_distance,near,21,0.238095238095,1.92648641822,0.41561109688,8.72783303447,-6.10635252071,1.42930382825,31.4285714286,9,0.633797721233,1
SESSION_CANDIDATE,EMA50_distance,normal,177,0.310734463277,1.84635115539,0.454241413944,80.4007302681,-13.052597718,6.15974934683,79.802259887,10,0.0834278101457,0.313504445049
SESSION_CANDIDATE,EMA50_distance,extended,337,0.302670623145,1.01977868111,0.0111380872457,3.75353540179,-31.6128820081,0.118734362809,79.8367952522,13,0.0504208380988,0.202800459011
