level_family_id,level_snapshot_id,snapshot_version,instrument,level_type,level_price,valid_from,first_touch,last_touch,touch_count,touch_times,tolerance_ticks,min_touches,round_confluence,historical,mirror,source_pivot_ids,source_sides,known_index,level_id,price,known_time
CNYRUBF-L6,CNYRUBF-L6-V3,3,CNYRUBF,EL,11.39825,2026-01-05 17:05:00+03:00,2026-01-05 11:50:00+03:00,2026-01-05 16:55:00+03:00,4,2026-01-05 11:50:00+03:00|2026-01-05 13:50:00+03:00|2026-01-05 16:25:00+03:00|2026-01-05 16:55:00+03:00,2,2,False,False,False,6|16|27|29,LOW|LOW|LOW|LOW,93,CNYRUBF-L6-V3,11.39825,2026-01-05 17:05:00+03:00
CNYRUBF-L17,CNYRUBF-L17-V1,1,CNYRUBF,EL,11.3945,2026-01-05 17:30:00+03:00,2026-01-05 16:05:00+03:00,2026-01-05 17:20:00+03:00,2,2026-01-05 16:05:00+03:00|2026-01-05 17:20:00+03:00,2,2,False,False,False,25|31,LOW|LOW,98,CNYRUBF-L17-V1,11.3945,2026-01-05 17:30:00+03:00
CNYRUBF-L19,CNYRUBF-L19-V1,1,CNYRUBF,EH,11.404,2026-01-05 17:45:00+03:00,2026-01-05 17:10:00+03:00,2026-01-05 17:35:00+03:00,2,2026-01-05 17:10:00+03:00|2026-01-05 17:35:00+03:00,2,2,False,False,False,30|33,HIGH|HIGH,101,CNYRUBF-L19-V1,11.404,2026-01-05 17:45:00+03:00
CNYRUBF-L7,CNYRUBF-L7-V1,1,CNYRUBF,MIRROR,11.402,2026-01-05 18:15:00+03:00,2026-01-05 12:05:00+03:00,2026-01-05 18:05:00+03:00,2,2026-01-05 12:05:00+03:00|2026-01-05 18:05:00+03:00,2,2,False,False,True,7|36,LOW|HIGH,106,CNYRUBF-L7-V1,11.402,2026-01-05 18:15:00+03:00
CNYRUBF-L14,CNYRUBF-L14-V1,1,CNYRUBF,EL,11.3875,2026-01-05 18:30:00+03:00,2026-01-05 14:20:00+03:00,2026-01-05 18:20:00+03:00,2,2026-01-05 14:20:00+03:00|2026-01-05 18:20:00+03:00,2,2,False,False,False,19|37,LOW|LOW,109,CNYRUBF-L14-V1,11.3875,2026-01-05 18:30:00+03:00
CNYRUBF-L19,CNYRUBF-L19-V2,2,CNYRUBF,EH,11.404333333333334,2026-01-05 18:40:00+03:00,2026-01-05 17:10:00+03:00,2026-01-05 18:30:00+03:00,3,2026-01-05 17:10:00+03:00|2026-01-05 17:35:00+03:00|2026-01-05 18:30:00+03:00,2,2,False,False,False,30|33|39,HIGH|HIGH|HIGH,111,CNYRUBF-L19-V2,11.404333333333334,2026-01-05 18:40:00+03:00
CNYRUBF-L5,CNYRUBF-L5-V3,3,CNYRUBF,MIRROR,11.397,2026-01-05 19:15:00+03:00,2026-01-05 11:45:00+03:00,2026-01-05 18:50:00+03:00,4,2026-01-05 11:45:00+03:00|2026-01-05 13:45:00+03:00|2026-01-05 15:05:00+03:00|2026-01-05 18:50:00+03:00,2,2,False,False,True,5|15|22|40,LOW|LOW|HIGH|LOW,115,CNYRUBF-L5-V3,11.397,2026-01-05 19:15:00+03:00
CNYRUBF-L10,CNYRUBF-L10-V1,1,CNYRUBF,EH,11.436499999999999,2026-01-05 19:20:00+03:00,2026-01-05 12:50:00+03:00,2026-01-05 19:10:00+03:00,2,2026-01-05 12:50:00+03:00|2026-01-05 19:10:00+03:00,2,2,False,False,False,10|41,HIGH|HIGH,116,CNYRUBF-L10-V1,11.436499999999999,2026-01-05 19:20:00+03:00
CNYRUBF-L13,CNYRUBF-L13-V3,3,CNYRUBF,MIRROR,11.409749999999999,2026-01-05 19:45:00+03:00,2026-01-05 13:40:00+03:00,2026-01-05 19:35:00+03:00,4,2026-01-05 13:40:00+03:00|2026-01-05 14:15:00+03:00|2026-01-05 15:50:00+03:00|2026-01-05 19:35:00+03:00,2,2,False,False,True,14|18|24|42,HIGH|HIGH|HIGH|LOW,121,CNYRUBF-L13-V3,11.409749999999999,2026-01-05 19:45:00+03:00
CNYRUBF-L2,CNYRUBF-L2-V1,1,CNYRUBF,EH,11.427,2026-01-05 19:50:00+03:00,2026-01-05 11:05:00+03:00,2026-01-05 19:40:00+03:00,2,2026-01-05 11:05:00+03:00|2026-01-05 19:40:00+03:00,2,2,False,False,False,2|43,HIGH|HIGH,122,CNYRUBF-L2-V1,11.427,2026-01-05 19:50:00+03:00
