scope,hour,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,average_holding_minutes
CNYRUBF,9,16,0.1875,0.661759479534,-0.208035036169,-3.3285605787,-7.63759025706,49.0625
CNYRUBF,10,64,0.390625,1.31660704727,0.165284111689,10.5781831481,-8.36617501517,72.03125
CNYRUBF,11,59,0.372881355932,2.03421891722,0.452415218668,26.6924979014,-8.81263560978,94.406779661
CNYRUBF,12,63,0.412698412698,1.21349100844,0.103222826877,6.50303809324,-7.6699145003,80.1587301587
CNYRUBF,13,53,0.339622641509,0.777022241418,-0.117732581485,-6.23982681872,-10.2104979325,78.5849056604
CNYRUBF,14,51,0.313725490196,0.738784721226,-0.157653718932,-8.04033966554,-11.1314582748,72.2549019608
CNYRUBF,15,52,0.365384615385,0.733286631626,-0.147977164399,-7.69481254876,-14.9011665904,59.0384615385
CNYRUBF,16,41,0.19512195122,0.327763677028,-0.420896780293,-17.256767992,-17.8001690127,72.0731707317
CNYRUBF,17,50,0.46,1.76659452505,0.346182327822,17.3091163911,-7.08844884065,147.3
CNYRUBF,18,34,0.352941176471,0.680813802252,-0.184732242332,-6.28089623927,-7.55764295028,189.852941176
CNYRUBF,19,23,0.217391304348,0.247733357365,-0.367252025215,-8.44679657995,-10.5808987667,316.086956522
CNYRUBF,20,8,0.25,0.217372873373,-0.506440188581,-4.05152150865,-5.1768222322,256.875
CNYRUBF,21,3,0.333333333333,0.577024758353,-0.343208282673,-1.02962484802,-2.43424377278,45
CNYRUBF,22,5,0.2,0.186584621097,-0.713435456776,-3.56717728388,-3.56717728388,157
CNYRUBF,23,5,0,0,-1.11524894749,-5.57624473743,-5.57624473743,1062
