instrument,session,trades,PF,expectancy_R,net_R
USDRUBF,Session_A,435,1.53815872638,0.240095622752,104.441595897
USDRUBF,Session_B,155,1.02112632944,0.00933981461986,1.44767126608
USDRUBF,Session_C,14,0.148609477089,-0.566377398387,-7.92928357741
CNYRUBF,Session_A,383,1.02237792255,0.0118589350333,4.54197211776
CNYRUBF,Session_B,128,0.836146543423,-0.0909620687976,-11.6431448061
CNYRUBF,Session_C,16,0.661759479534,-0.208035036169,-3.3285605787
