scope,start_date,end_date,trades,net_R,max_consecutive_losses,max_drawdown_R
COMBINED,2024-01-11,2024-12-05,551,0.550312608821,15,-42.8121622922
COMBINED,2023-05-08,2023-08-11,153,0.313272391631,15,-20.8985142027
COMBINED,2023-12-08,2023-12-21,31,1.69342915076,11,-15.9377688448
COMBINED,2023-08-23,2023-10-09,65,3.56005142552,8,-13.2584317145
COMBINED,2023-01-16,2023-04-07,101,3.84654549823,11,-11.1317310196
USDRUBF,2024-01-11,2024-11-25,262,0.427680355413,11,-24.9726410236
USDRUBF,2023-06-01,2023-07-21,51,0.284235245822,11,-13.4067914772
USDRUBF,2023-12-08,2023-12-21,15,0.169541360515,12,-9.55223611994
USDRUBF,2023-10-31,2023-12-01,24,1.68594147897,7,-5.9165630608
USDRUBF,2023-04-12,2023-04-28,13,11.1917960941,5,-5.26467417116
CNYRUBF,2024-01-29,2024-12-30,290,-22.5044607417,12,-31.5930828032
CNYRUBF,2023-05-08,2024-01-09,174,2.96906475207,9,-22.3416309366
CNYRUBF,2023-01-09,2023-05-04,46,2.36908268275,5,-18.4388417237
CNYRUBF,2024-01-16,2024-01-24,8,0.113474424402,6,-2.6766456582
CNYRUBF,2024-01-25,2024-01-26,4,1.06849566285,3,-2.33974900098
