scope,session,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R
COMBINED,Full_Session,1131,0.374889478338,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922
COMBINED,Session_A,818,0.382640586797,1.27449100465,0.133231745739,108.983568015,-24.2580243788
COMBINED,Session_B,283,0.367491166078,0.926957514573,-0.0360264082686,-10.19547354,-28.0671125969
COMBINED,Session_C,30,0.233333333333,0.412250170924,-0.37526147187,-11.2578441561,-13.029477157
USDRUBF,Full_Session,604,0.402317880795,1.36026628195,0.162185403288,97.9599835858,-24.9726410236
USDRUBF,Session_A,435,0.411494252874,1.53815872638,0.240095622752,104.441595897,-17.6691854422
USDRUBF,Session_B,155,0.387096774194,1.02112632944,0.00933981461986,1.44767126608,-11.5770205244
USDRUBF,Session_C,14,0.285714285714,0.148609477089,-0.566377398387,-7.92928357741,-9.02305903256
CNYRUBF,Full_Session,527,0.343453510436,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032
CNYRUBF,Session_A,383,0.349869451697,1.02237792255,0.0118589350333,4.54197211776,-21.7195856516
CNYRUBF,Session_B,128,0.34375,0.836146543423,-0.0909620687976,-11.6431448061,-21.7007444369
CNYRUBF,Session_C,16,0.1875,0.661759479534,-0.208035036169,-3.3285605787,-7.63759025706
