scope,weekday,trades,win_rate,PF,expectancy_R,net_R
COMBINED,Monday,230,0.413043478261,1.46366854289,0.201148406009,46.264133382
COMBINED,Tuesday,200,0.42,1.14530259401,0.0655223017468,13.1044603494
COMBINED,Wednesday,221,0.316742081448,0.823605602705,-0.0958158515151,-21.1753031848
COMBINED,Thursday,224,0.383928571429,1.24392696854,0.12074231861,27.0462793686
COMBINED,Friday,251,0.354581673307,1.21093632083,0.109079856246,27.3790439178
USDRUBF,Monday,121,0.446280991736,1.98069592438,0.37800004223,45.7380051098
USDRUBF,Tuesday,110,0.436363636364,1.24375847945,0.100611064332,11.0672170766
USDRUBF,Wednesday,120,0.333333333333,0.859980722537,-0.0752018203051,-9.02421843662
USDRUBF,Thursday,116,0.431034482759,1.49562540393,0.219300623349,25.4388723085
USDRUBF,Friday,137,0.372262773723,1.38600569493,0.180584726479,24.7401075276
CNYRUBF,Monday,109,0.376146788991,1.00990076832,0.00482686488283,0.526128272229
CNYRUBF,Tuesday,90,0.4,1.04548941859,0.0226360363645,2.0372432728
CNYRUBF,Wednesday,101,0.29702970297,0.781437170552,-0.120307769784,-12.1510847482
CNYRUBF,Thursday,108,0.333333333333,1.02699175441,0.0148833987048,1.60740706012
CNYRUBF,Friday,114,0.333333333333,1.04016335568,0.0231485648267,2.63893639024
