parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_period,50,1,1,0.158223768812
ema_period,75,1,1,0.162875006507
ema_period,100,18,1,0.155257101308
ema_period,150,1,1,0.182704410584
ema_period,200,1,1,0.188053697112
adx_threshold,15,1,1,0.1599650136
adx_threshold,20,19,1,0.159522474994
adx_threshold,25,1,1,0.185093747388
adx_threshold,30,1,1,0.110498920683
breakout_period,10,1,1,0.138185670756
breakout_period,20,18,1,0.158248050167
breakout_period,30,1,1,0.18354419106
breakout_period,40,1,1,0.167956460656
breakout_period,55,1,1,0.148333481078
atr_average_period,10,1,1,0.145926852697
atr_average_period,20,19,1,0.159984585487
atr_average_period,30,1,1,0.158415577212
atr_average_period,50,1,1,0.142435152387
stop_atr,1.5,1,1,0.193800923164
stop_atr,2,19,1,0.159552917455
stop_atr,2.5,1,1,0.139057433072
stop_atr,3,1,1,0.12212091868
trail_atr,2,1,1,0.108301425389
trail_atr,2.5,1,1,0.129465292535
trail_atr,3,18,1,0.158443657627
trail_atr,3.5,1,1,0.193060137453
trail_atr,4,1,1,0.203672013899
