configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T3-M30-782a150195d6,T3-M30-0050d828c1a8;T3-M30-e465514e7d09;T3-M30-0e8b28aef6af;T3-M30-8f50652483e0;T3-M30-fde65b87e674;T3-M30-d6feb972db57;T3-M30-0ceadfe6ba89;T3-M30-aeeb96942cf3;T3-M30-5ce129d7f93a;T3-M30-4e73cdb77246;T3-M30-d9d86ab01cd1;T3-M30-30681f09c487,12,12,12,0.0576781141413,0.164794611832,1.36949736407,ROBUST_PLATEAU
T3-M30-aeef6145060a,T3-M30-0050d828c1a8,1,1,1,0.0553783190843,0.158223768812,1.35071318441,LOCAL_SPIKE
T3-M30-0050d828c1a8,T3-M30-782a150195d6;T3-M30-aeef6145060a,2,2,2,0.0570062522774,0.162875006507,1.36261268342,ROBUST_PLATEAU
T3-M30-e465514e7d09,T3-M30-782a150195d6;T3-M30-ce4f64b5cf6f,2,2,2,0.0639465437045,0.182704410584,1.41908542285,ROBUST_PLATEAU
T3-M30-ce4f64b5cf6f,T3-M30-e465514e7d09,1,1,1,0.0658187939891,0.188053697112,1.43430582576,LOCAL_SPIKE
T3-M30-0e8b28aef6af,T3-M30-782a150195d6,1,1,1,0.0559877547599,0.1599650136,1.35763507189,LOCAL_SPIKE
T3-M30-8f50652483e0,T3-M30-782a150195d6;T3-M30-59bb19b16087,2,2,1,0.0647828115857,0.185093747388,1.41712341575,LOCAL_SPIKE
T3-M30-59bb19b16087,T3-M30-8f50652483e0,1,1,0,0.0386746222389,0.110498920683,1.23671435199,LOCAL_SPIKE
T3-M30-fde65b87e674,T3-M30-782a150195d6,1,1,1,0.0483649847647,0.138185670756,1.29760591515,LOCAL_SPIKE
T3-M30-d6feb972db57,T3-M30-782a150195d6;T3-M30-2e29f26637ab,2,2,2,0.0642404668711,0.18354419106,1.41725692209,ROBUST_PLATEAU
T3-M30-2e29f26637ab,T3-M30-d6feb972db57;T3-M30-1bef08206dd9,2,2,2,0.0587847612295,0.167956460656,1.37410427499,ROBUST_PLATEAU
T3-M30-1bef08206dd9,T3-M30-2e29f26637ab,1,1,1,0.0519167183772,0.148333481078,1.32710531824,LOCAL_SPIKE
T3-M30-0ceadfe6ba89,T3-M30-782a150195d6,1,1,1,0.0510743984438,0.145926852697,1.32246494826,LOCAL_SPIKE
T3-M30-aeeb96942cf3,T3-M30-782a150195d6;T3-M30-4e27874898fc,2,2,2,0.0554454520243,0.158415577212,1.3486037229,ROBUST_PLATEAU
T3-M30-4e27874898fc,T3-M30-aeeb96942cf3,1,1,1,0.0498523033356,0.142435152387,1.3064388501,LOCAL_SPIKE
T3-M30-5ce129d7f93a,T3-M30-782a150195d6,1,1,1,0.0678303231072,0.193800923164,1.35579945977,LOCAL_SPIKE
T3-M30-4e73cdb77246,T3-M30-782a150195d6;T3-M30-ff3ccac57cfa,2,2,2,0.0486701015751,0.139057433072,1.37160440874,ROBUST_PLATEAU
T3-M30-ff3ccac57cfa,T3-M30-4e73cdb77246,1,1,1,0.0427423215379,0.12212091868,1.39172484351,LOCAL_SPIKE
T3-M30-65fae596a867,T3-M30-d9d86ab01cd1,1,1,1,0.037905498886,0.108301425389,1.31669748331,LOCAL_SPIKE
T3-M30-d9d86ab01cd1,T3-M30-782a150195d6;T3-M30-65fae596a867,2,2,2,0.0453128523873,0.129465292535,1.32197008446,ROBUST_PLATEAU
T3-M30-30681f09c487,T3-M30-782a150195d6;T3-M30-ea3e58b88e04,2,2,2,0.0675710481085,0.193060137453,1.39808840692,ROBUST_PLATEAU
T3-M30-ea3e58b88e04,T3-M30-30681f09c487,1,1,1,0.0712852048648,0.203672013899,1.39269992701,LOCAL_SPIKE
