scope,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
T2,830,0.302409638554,1.10572933392,0.061035668028,50.6596044632,0.061035668028,-0.592574349261,-56.4226125007,121.120481928
T3,1131,0.374889478338,1.15749204634,0.0773919100962,87.5302503188,0.0773919100962,-0.408844712557,-42.6941794806,101.41025641
COMBINED,1961,0.344212136665,1.1335270944,0.0704690743406,138.189854782,0.0704690743406,-0.529261132705,-56.4226125007,109.752677206
