generation,lifecycle_stage,strategy,timeframe,year,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,development,T2,M30,2023,86,1.67106574374,0.277941316604,23.9029532279,-7.03470567314,0.360465116279
v1,development,T2,M30,2024,92,1.34432630199,0.170812334223,15.7147347485,-10.2173492222,0.29347826087
v1,walk_forward,T2,M30,2024,67,1.24573377987,0.114825006411,7.69327542955,-9.20677620732,0.313432835821
v1,true_oos,T2,M30,2025,94,1.44250884868,0.220402564461,20.7178410594,-15.2207063257,0.31914893617
v1,true_oos,T2,M30,2026,77,1.19264315387,0.0960517174045,7.39598224015,-17.5858149198,0.298701298701
v1,development,T2,H1,2023,37,3.0697911868,0.855463726123,31.6521578665,-3.7951386027,0.432432432432
v1,development,T2,H1,2024,42,2.55955668997,0.665242608458,27.9401895552,-5.42161523111,0.452380952381
v1,walk_forward,T2,H1,2024,33,3.24792360974,0.816803426097,26.9545130612,-3.49869111752,0.484848484848
v1,true_oos,T2,H1,2025,41,1.55104207714,0.262539260691,10.7641096883,-9.46784963186,0.390243902439
v1,true_oos,T2,H1,2026,28,3.92879258396,1.14619916295,32.0935765625,-3.06826201819,0.5
v1,development,T3,M30,2023,124,2.27556944681,0.498845543803,61.8568474316,-6.24014400628,0.467741935484
v1,development,T3,M30,2024,111,1.89265212846,0.390063638995,43.2970639284,-16.1325347686,0.423423423423
v1,walk_forward,T3,M30,2024,60,1.86427903047,0.358769755588,21.5261853353,-8.94922459667,0.416666666667
v1,true_oos,T3,M30,2025,78,1.85717537445,0.408627765577,31.872965715,-14.3940115028,0.346153846154
v1,true_oos,T3,M30,2026,84,2.40766905354,0.486072159024,40.830061358,-5.42780455872,0.535714285714
v1,development,T3,H1,2023,61,1.72360070366,0.32410262456,19.7702600982,-8.35494209762,0.409836065574
v1,development,T3,H1,2024,53,2.81137644806,0.707271671673,37.4853985986,-7.54338507715,0.471698113208
v1,walk_forward,T3,H1,2024,34,3.49197193021,0.986185516534,33.5303075622,-4.90701631518,0.5
v1,true_oos,T3,H1,2025,50,1.80824310069,0.395640879717,19.7820439858,-9.39173991115,0.34
v1,true_oos,T3,H1,2026,47,4.88196881956,0.796779534417,37.4486381176,-3.4779684131,0.553191489362
v2,development,T2,M30,2020,225,1.30529647023,0.157197077681,35.3693424782,-24.4689841293,0.293333333333
v2,development,T2,M30,2021,293,1.16861823777,0.0775406818492,22.7194197818,-21.8165455689,0.354948805461
v2,development,T2,M30,2022,235,1.2900016454,0.135552891734,31.8549295575,-15.7877443952,0.353191489362
v2,development,T2,M30,2023,335,1.56551138693,0.249364712885,83.5371788164,-9.25198113033,0.361194029851
v2,development,T2,M30,2024,350,1.03474269015,0.017197738175,6.01920836124,-17.4673221772,0.368571428571
v2,walk_forward,T2,M30,2024,210,1.13601833652,0.0670674887981,14.0841726476,-13.5709264558,0.4
v2,true_oos,T2,M30,2025,237,1.84887763087,0.437825506814,103.764645115,-17.9033585907,0.329113924051
v2,true_oos,T2,M30,2026,200,1.36296033831,0.181233418058,36.2466836115,-16.5954957281,0.34
v2,development,T2,H1,2020,122,1.05165150229,0.0262507083399,3.20258641747,-11.3740394577,0.319672131148
v2,development,T2,H1,2021,138,1.16457057035,0.0743389031906,10.2587686403,-12.802396675,0.369565217391
v2,development,T2,H1,2022,121,1.57442430938,0.275708713945,33.3607543874,-15.7752217981,0.363636363636
v2,development,T2,H1,2023,155,2.14424814142,0.458593238412,71.0819519539,-6.03583579005,0.393548387097
v2,development,T2,H1,2024,171,2.06783118896,0.447158618648,76.4641237888,-7.96103151426,0.391812865497
v2,walk_forward,T2,H1,2024,117,1.67624286881,0.286542923393,33.525522037,-6.50691086668,0.376068376068
