generation,lifecycle_stage,strategy,timeframe,year,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v2,true_oos,T2,H1,2025,165,0.969917600124,-0.0143493037745,-2.36763512279,-21.627641451,0.363636363636
v2,true_oos,T2,H1,2026,132,1.63470698625,0.311364165673,41.1000698688,-9.44911755939,0.371212121212
v2,development,T3,M30,2020,232,1.49752707156,0.214098428453,49.670835401,-10.3824365644,0.409482758621
v2,development,T3,M30,2021,305,0.976759818642,-0.0109741436116,-3.34711380152,-20.6763654849,0.347540983607
v2,development,T3,M30,2022,246,1.55588564596,0.250411360198,61.6011946087,-16.5549669768,0.410569105691
v2,development,T3,M30,2023,371,1.64427438188,0.266265650525,98.7845563447,-19.0028686679,0.450134770889
v2,development,T3,M30,2024,409,1.26899403765,0.124363094722,50.8645057412,-13.5165085536,0.38630806846
v2,walk_forward,T3,M30,2024,324,1.18734689622,0.0910723949193,29.5074559539,-13.6481471103,0.37962962963
v2,true_oos,T3,M30,2025,374,1.44928272461,0.219499286,82.092732964,-16.2272468101,0.379679144385
v2,true_oos,T3,M30,2026,324,1.46286970013,0.22733812841,73.6575536048,-18.6988938552,0.407407407407
v2,development,T3,H1,2020,99,1.75472830177,0.322041516262,31.88211011,-10.944103291,0.414141414141
v2,development,T3,H1,2021,152,1.11688936609,0.0551243278713,8.37889783644,-19.2163232319,0.368421052632
v2,development,T3,H1,2022,116,2.53941158046,0.495424302216,57.4692190571,-5.47760394991,0.5
v2,development,T3,H1,2023,186,1.0417870932,0.0184765183823,3.43663241911,-11.6611610233,0.370967741935
v2,development,T3,H1,2024,188,1.57648573414,0.267999112211,50.3838330957,-12.7366428482,0.409574468085
v2,walk_forward,T3,H1,2024,95,1.60681155027,0.306220669414,29.0909635943,-11.0387762621,0.4
v2,true_oos,T3,H1,2025,165,1.30775618662,0.164007421288,27.0612245126,-21.4505564874,0.351515151515
v2,true_oos,T3,H1,2026,162,1.53153917073,0.230086690633,37.2740438826,-12.5679444189,0.395061728395
v3,development,T2,M30,2023,132,1.52700342119,0.231377555855,30.5418373728,-8.40349707621,0.340909090909
v3,development,T2,M30,2024,234,1.65034696449,0.28363162595,66.3698004724,-7.64378222941,0.384615384615
v3,walk_forward,T2,M30,2024,193,1.70741299686,0.31812238663,61.3976206196,-7.44890140962,0.383419689119
v3,true_oos,T2,M30,2025,184,1.17247471815,0.0925715688111,17.0331686612,-29.8417906144,0.315217391304
v3,true_oos,T2,M30,2026,177,1.18344972347,0.0912419246809,16.1498206685,-13.7634515966,0.327683615819
v3,development,T2,H1,2023,61,2.16435539365,0.481461062335,29.3691248024,-5.84565405439,0.393442622951
v3,development,T2,H1,2024,115,2.12265189896,0.444502295215,51.1177639497,-5.22415392855,0.4
v3,walk_forward,T2,H1,2024,85,2.41850664449,0.568312563729,48.306567917,-7.3701444823,0.447058823529
v3,true_oos,T2,H1,2025,88,1.46383297864,0.239450442403,21.0716389315,-12.629214942,0.363636363636
v3,true_oos,T2,H1,2026,84,2.08252259502,0.529334446368,44.4640934949,-6.26380944245,0.369047619048
v3,development,T3,M30,2023,152,1.9912215012,0.402249995631,61.141999336,-9.04312412633,0.453947368421
v3,development,T3,M30,2024,246,1.64228742792,0.281679859991,69.2932455579,-12.0642303787,0.426829268293
v3,walk_forward,T3,M30,2024,171,1.60064574312,0.272899850925,46.6658745082,-18.3781479418,0.397660818713
v3,true_oos,T3,M30,2025,186,1.94422640112,0.413460699269,76.903690064,-17.830747306,0.44623655914
v3,true_oos,T3,M30,2026,183,2.01000454735,0.434800377675,79.5684691145,-10.1082372494,0.437158469945
v3,development,T3,H1,2023,62,1.62942454462,0.27115231123,16.8114432963,-6.34177800695,0.41935483871
v3,development,T3,H1,2024,122,2.54178985086,0.535752252998,65.3617748657,-6.91039528,0.483606557377
v3,walk_forward,T3,H1,2024,66,3.29825125816,0.580199228677,38.2931490927,-2.33918741216,0.545454545455
v3,true_oos,T3,H1,2025,100,1.93433542118,0.356591858412,35.6591858412,-11.6340772346,0.38
v3,true_oos,T3,H1,2026,99,2.64621587973,0.492645138172,48.771868679,-5.03647210457,0.484848484848
