generation,lifecycle_stage,strategy,timeframe,quarter,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,walk_forward,T3,M30,2024-Q1,12,0.385119248813,-0.36791499481,-4.41497993772,-6.12352499684,0.333333333333
v1,walk_forward,T3,M30,2024-Q2,21,1.88278394369,0.416112185553,8.7383558966,-4.53424465895,0.333333333333
v1,walk_forward,T3,M30,2024-Q3,22,2.68855428653,0.500547469893,11.0120443377,-2.03212118964,0.545454545455
v1,walk_forward,T3,M30,2024-Q4,5,5.73994025779,1.23815300774,6.19076503872,-1.30608503526,0.4
v1,true_oos,T3,M30,2025-Q1,20,1.11198003884,0.0490955825934,0.981911651868,-3.340275507,0.3
v1,true_oos,T3,M30,2025-Q2,12,0.193545674899,-0.657002876176,-7.88403451411,-8.52579502104,0.166666666667
v1,true_oos,T3,M30,2025-Q3,21,5.57110759461,1.80015487466,37.8032523679,-3.35007535343,0.428571428571
v1,true_oos,T3,M30,2025-Q4,25,1.09372631146,0.0388734483737,0.971836209343,-5.21111100211,0.4
v1,true_oos,T3,M30,2026-Q1,21,4.9870401064,0.742332958312,15.5889921245,-3.55119228055,0.761904761905
v1,true_oos,T3,M30,2026-Q2,28,2.54223139697,0.616448135418,17.2605477917,-5.42780455872,0.464285714286
v1,true_oos,T3,M30,2026-Q3,35,1.57398984447,0.228014898337,7.98052144179,-5.30867448038,0.457142857143
v1,baseline,T3,H1,2023-Q1,15,0.459215567274,-0.284997858073,-4.27496787109,-6.1571000763,0.266666666667
v1,baseline,T3,H1,2023-Q2,19,5.93339042624,1.16370670169,22.110427332,-3.11345955517,0.631578947368
v1,baseline,T3,H1,2023-Q3,14,2.11180505505,0.557208629765,7.80092081671,-3.79400237414,0.428571428571
v1,baseline,T3,H1,2023-Q4,13,0.212267078997,-0.509693020115,-6.62600926149,-6.62600926149,0.230769230769
v1,baseline,T3,H1,2024-Q1,11,0.667517015262,-0.213917007488,-2.35308708236,-5.77104433803,0.272727272727
v1,baseline,T3,H1,2024-Q2,17,4.72902882209,1.35507367468,23.0362524696,-3.430023177,0.411764705882
v1,baseline,T3,H1,2024-Q3,11,1.4645329209,0.169490827258,1.86439909984,-2.00765157516,0.545454545455
v1,baseline,T3,H1,2024-Q4,14,4.55983859807,0.999118454615,13.9876583646,-1.9786684979,0.642857142857
v1,walk_forward,T3,H1,2024-Q1,7,0.0566070468737,-0.719794590359,-5.03856213251,-5.03856213251,0.142857142857
v1,walk_forward,T3,H1,2024-Q2,8,11.0886772451,3.14829013248,25.1863210599,-1.44896825999,0.625
v1,walk_forward,T3,H1,2024-Q3,9,2.93038832218,0.430227852778,3.87205067501,-1.0040875669,0.666666666667
v1,walk_forward,T3,H1,2024-Q4,10,3.23228509469,0.889189527673,8.89189527673,-1.9786684979,0.5
v1,true_oos,T3,H1,2025-Q1,7,5.6672013321,1.33559599863,9.34917199042,-1.00168602409,0.714285714286
v1,true_oos,T3,H1,2025-Q2,6,0.105492333207,-0.74124825538,-4.44748953228,-4.44748953228,0.166666666667
v1,true_oos,T3,H1,2025-Q3,13,4.51015287615,1.35773968284,17.6506158769,-2.63815537171,0.384615384615
v1,true_oos,T3,H1,2025-Q4,24,0.777877758681,-0.115427264549,-2.77025434917,-9.39173991115,0.25
v1,true_oos,T3,H1,2026-Q1,16,4.80171729636,0.826390792016,13.2222526723,-3.4779684131,0.5625
v1,true_oos,T3,H1,2026-Q2,15,4.13452418709,0.634451630719,9.51677446079,-1.92037356763,0.533333333333
v1,true_oos,T3,H1,2026-Q3,16,5.69545656636,0.919350686533,14.7096109845,-1.6071264036,0.5625
v2,baseline,T2,M30,2020-Q1,39,1.7752117353,0.40753333104,15.8937999106,-6.66649425991,0.333333333333
v2,baseline,T2,M30,2020-Q2,62,1.40581868741,0.196969780559,12.2121263947,-11.2473787795,0.306451612903
v2,baseline,T2,M30,2020-Q3,71,1.0504921491,0.0274344281789,1.9478444007,-17.821999381,0.253521126761
v2,baseline,T2,M30,2020-Q4,53,1.19923301081,0.100293807023,5.31557177222,-10.3096814961,0.301886792453
v2,baseline,T2,M30,2021-Q1,58,2.03845188038,0.38931377708,22.5801990706,-4.51562761882,0.465517241379
v2,baseline,T2,M30,2021-Q2,62,1.17651779372,0.0903189857467,5.5997771163,-9.11738486451,0.274193548387
v2,baseline,T2,M30,2021-Q3,84,1.09884505294,0.0451587517023,3.793335143,-10.587178743,0.380952380952
v2,baseline,T2,M30,2021-Q4,89,0.784264124892,-0.10397630953,-9.25389154813,-14.7747517318,0.314606741573
v2,baseline,T2,M30,2022-Q1,56,0.935812768037,-0.0354692958493,-1.98628056756,-11.6851267933,0.285714285714
v2,baseline,T2,M30,2022-Q2,35,1.97334040859,0.377924477308,13.2273567058,-4.69002938466,0.457142857143
v2,baseline,T2,M30,2022-Q3,75,1.67583259639,0.291377591867,21.85331939,-14.7777918205,0.426666666667
v2,baseline,T2,M30,2022-Q4,69,0.962410585025,-0.0179632749385,-1.23946597076,-15.7877443952,0.275362318841
v2,baseline,T2,M30,2023-Q1,90,1.7233526528,0.323292607044,29.096334634,-8.43578866615,0.355555555556
v2,baseline,T2,M30,2023-Q2,67,2.16956249603,0.475459342728,31.8557759628,-7.2197508934,0.402985074627
v2,baseline,T2,M30,2023-Q3,93,1.03171897771,0.0137166796428,1.27565120678,-9.25198113033,0.376344086022
v2,baseline,T2,M30,2023-Q4,85,1.53219248227,0.250699023682,21.309417013,-8.96621618086,0.317647058824
v2,baseline,T2,M30,2024-Q1,78,1.01120031078,0.00486238405403,0.379265956215,-12.3968126052,0.410256410256
v2,baseline,T2,M30,2024-Q2,95,1.10052058105,0.0457048824539,4.34196383312,-13.895977549,0.389473684211
v2,baseline,T2,M30,2024-Q3,78,1.41388965548,0.198405263084,15.4756105205,-9.49731087213,0.384615384615
v2,baseline,T2,M30,2024-Q4,99,0.75889832211,-0.143208403521,-14.1776319486,-17.4673221772,0.30303030303
v2,walk_forward,T2,M30,2024-Q1,42,1.15642198173,0.0664799790844,2.79215912155,-6.74300213868,0.47619047619
v2,walk_forward,T2,M30,2024-Q2,56,1.26085513738,0.11827710014,6.62351760782,-7.22205559574,0.392857142857
v2,walk_forward,T2,M30,2024-Q3,52,1.66788811325,0.290673706417,15.1150327337,-6.67458273048,0.403846153846
v2,walk_forward,T2,M30,2024-Q4,60,0.722707301376,-0.174108946925,-10.4465368155,-13.5709264558,0.35
