generation,lifecycle_stage,strategy,timeframe,calendar_month,observed_years,trades,net_R,average_R_per_year,median_R_per_year,positive_year_count,negative_year_count,positive_year_share
v2,development,T3,M30,January,5,111,-7.97501994215,-1.59500398843,-1.0552893998,1,4,0.2
v2,development,T3,M30,February,5,131,24.3428131526,4.86856263051,1.78171720238,3,2,0.6
v2,development,T3,M30,March,5,112,48.2390016911,9.64780033822,11.2176418137,5,0,1
v2,development,T3,M30,April,5,134,20.0459210696,4.00918421392,1.27462014971,4,1,0.8
v2,development,T3,M30,May,5,123,6.91310401374,1.38262080275,3.62923415489,4,1,0.8
v2,development,T3,M30,June,5,123,11.8754199455,2.3750839891,1.63617852823,3,2,0.6
v2,development,T3,M30,July,5,137,-3.64450910543,-0.728901821086,-1.84156896381,2,3,0.4
v2,development,T3,M30,August,5,159,15.550456786,3.11009135721,3.39863244083,4,1,0.8
v2,development,T3,M30,September,5,161,13.10766481,2.621532962,-1.24853842564,2,3,0.4
v2,development,T3,M30,October,5,124,48.7581434311,9.75162868623,8.28830666302,4,1,0.8
v2,development,T3,M30,November,5,129,37.02442134,7.40488426801,5.93069666029,5,0,1
v2,development,T3,M30,December,5,119,43.3365611019,8.66731222039,4.20362743349,4,1,0.8
v2,walk_forward,T3,M30,January,1,10,-4.57403975156,-4.57403975156,-4.57403975156,0,1,0
v2,walk_forward,T3,M30,February,1,31,-5.48957718507,-5.48957718507,-5.48957718507,0,1,0
v2,walk_forward,T3,M30,March,1,24,11.8904352393,11.8904352393,11.8904352393,1,0,1
v2,walk_forward,T3,M30,April,1,22,-7.91709200678,-7.91709200678,-7.91709200678,0,1,0
v2,walk_forward,T3,M30,May,1,38,3.34174482465,3.34174482465,3.34174482465,1,0,1
v2,walk_forward,T3,M30,June,1,31,9.44673510839,9.44673510839,9.44673510839,1,0,1
v2,walk_forward,T3,M30,July,1,18,1.08709477453,1.08709477453,1.08709477453,1,0,1
v2,walk_forward,T3,M30,August,1,38,-3.07169271769,-3.07169271769,-3.07169271769,0,1,0
v2,walk_forward,T3,M30,September,1,33,9.50090920466,9.50090920466,9.50090920466,1,0,1
v2,walk_forward,T3,M30,October,1,17,-1.36156554944,-1.36156554944,-1.36156554944,0,1,0
v2,walk_forward,T3,M30,November,1,37,14.5711079108,14.5711079108,14.5711079108,1,0,1
v2,walk_forward,T3,M30,December,1,25,2.08339610206,2.08339610206,2.08339610206,1,0,1
v2,true_oos,T3,M30,January,2,57,5.79311778421,2.8965588921,2.8965588921,1,1,0.5
v2,true_oos,T3,M30,February,2,58,-1.63783408135,-0.818917040677,-0.818917040677,1,1,0.5
v2,true_oos,T3,M30,March,2,55,37.7850132027,18.8925066014,18.8925066014,2,0,1
v2,true_oos,T3,M30,April,2,66,12.992334654,6.49616732702,6.49616732702,2,0,1
v2,true_oos,T3,M30,May,2,58,-4.85843751538,-2.42921875769,-2.42921875769,0,2,0
v2,true_oos,T3,M30,June,2,67,26.0426804452,13.0213402226,13.0213402226,2,0,1
v2,true_oos,T3,M30,July,2,74,32.2613141966,16.1306570983,16.1306570983,2,0,1
v2,true_oos,T3,M30,August,2,79,-2.20127076465,-1.10063538232,-1.10063538232,1,1,0.5
v2,true_oos,T3,M30,September,2,64,35.4304113253,17.7152056627,17.7152056627,2,0,1
v2,true_oos,T3,M30,October,1,58,16.9602154008,16.9602154008,16.9602154008,1,0,1
v2,true_oos,T3,M30,November,1,21,0.181606395465,0.181606395465,0.181606395465,1,0,1
v2,true_oos,T3,M30,December,1,41,-2.99886447419,-2.99886447419,-2.99886447419,0,1,0
v2,development,T3,H1,January,4,48,4.56676792323,1.14169198081,1.35431537231,3,1,0.75
v2,development,T3,H1,February,5,67,-7.46572584828,-1.49314516966,-0.760373831198,2,3,0.4
