generation,lifecycle_stage,strategy,timeframe,YYYY-MM,trades,PF,expectancy_R,net_R,max_drawdown_R,win_rate
v1,true_oos,T2,M30,2026-05,7,10.2371695053,1.87473500855,13.1231450599,-0.743306254943,0.428571428571
v1,true_oos,T2,M30,2026-06,7,0.891451111708,-0.0479288139371,-0.33550169756,-1.62055943236,0.571428571429
v1,true_oos,T2,M30,2026-07,10,0.281906231642,-0.429037373543,-4.29037373543,-4.33486643145,0.3
v1,true_oos,T2,M30,2026-08,13,3.70511299775,1.12790196131,14.662725497,-3.89030854816,0.538461538462
v1,baseline,T2,H1,2023-01,1,0,-1.037932284,-1.037932284,-1.037932284,0
v1,baseline,T2,H1,2023-02,2,0,-0.459533841154,-0.919067682308,-0.919067682308,0
v1,baseline,T2,H1,2023-03,4,0.549033123272,-0.142863821536,-0.571455286143,-1.26717795837,0.5
v1,baseline,T2,H1,2023-04,1,NA,4.31974035329,4.31974035329,0,1
v1,baseline,T2,H1,2023-05,1,0,-0.766930138188,-0.766930138188,-0.766930138188,0
v1,baseline,T2,H1,2023-06,4,23.92846069,3.92007875789,15.6803150315,-0.683879970992,0.75
v1,baseline,T2,H1,2023-07,3,1.49328237038,0.293392638724,0.880177916171,-1.01883996926,0.333333333333
v1,baseline,T2,H1,2023-08,5,11.459146191,2.09779525917,10.4889762958,-1.00285205927,0.8
v1,baseline,T2,H1,2023-09,5,0.56523442059,-0.236820952862,-1.18410476431,-2.72354763207,0.2
v1,baseline,T2,H1,2023-10,7,7.52460687391,1.22251100391,8.55757702736,-0.950338553215,0.571428571429
v1,baseline,T2,H1,2023-11,2,0,-1.01921288991,-2.03842577983,-2.03842577983,0
v1,baseline,T2,H1,2023-12,2,0,-0.878356411437,-1.75671282287,-1.75671282287,0
v1,baseline,T2,H1,2024-02,4,0.565938299262,-0.226701891298,-0.906807565192,-2.08912134761,0.25
v1,baseline,T2,H1,2024-03,3,0,-0.863961184115,-2.59188355234,-2.59188355234,0
v1,baseline,T2,H1,2024-04,4,1.04891711822,0.023515976548,0.094063906192,-1.92292411358,0.5
v1,baseline,T2,H1,2024-05,2,6.24973272639,2.6404159032,5.2808318064,-1.00592393587,0.5
v1,baseline,T2,H1,2024-06,2,0,-0.38656158142,-0.77312316284,-0.77312316284,0
v1,baseline,T2,H1,2024-07,2,0,-0.992345951523,-1.98469190305,-1.98469190305,0
v1,baseline,T2,H1,2024-08,4,1.58038886387,0.193323983529,0.773295934117,-1.30056622094,0.5
v1,baseline,T2,H1,2024-09,7,6.03088612503,0.810494594098,5.67346215869,-1.12772621317,0.714285714286
v1,baseline,T2,H1,2024-10,9,2.44635976535,0.55933544378,5.03401899402,-1.46347121484,0.555555555556
v1,baseline,T2,H1,2024-11,5,11.7894234793,3.46820458785,17.3410229392,-1.05287252496,0.6
v1,walk_forward,T2,H1,2024-02,4,0.565938299268,-0.226701891293,-0.906807565172,-2.08912134759,0.25
v1,walk_forward,T2,H1,2024-03,3,0,-0.863961184115,-2.59188355234,-2.59188355234,0
v1,walk_forward,T2,H1,2024-04,2,NA,1.00849400991,2.01698801983,0,1
v1,walk_forward,T2,H1,2024-05,2,6.24973272639,2.6404159032,5.2808318064,-1.00592393587,0.5
v1,walk_forward,T2,H1,2024-06,2,0,-0.38656158142,-0.77312316284,-0.77312316284,0
v1,walk_forward,T2,H1,2024-08,4,1.5803888638,0.193323983512,0.773295934049,-1.30056622101,0.5
v1,walk_forward,T2,H1,2024-09,7,6.03088612503,0.810494594098,5.67346215869,-1.12772621317,0.714285714286
v1,walk_forward,T2,H1,2024-10,4,1.09615937913,0.0351816208408,0.140726483363,-1.46347121458,0.5
v1,walk_forward,T2,H1,2024-11,5,11.7894234793,3.46820458785,17.3410229392,-1.05287252496,0.6
v1,true_oos,T2,H1,2025-01,3,1.5583672998,0.187219376615,0.561658129844,-1.00589366541,0.666666666667
v1,true_oos,T2,H1,2025-02,1,NA,1.86281945815,1.86281945815,0,1
v1,true_oos,T2,H1,2025-03,4,0.516312477776,-0.298041215264,-1.19216486105,-2.46474181424,0.25
v1,true_oos,T2,H1,2025-04,4,2.68557164763,0.418427614423,1.67371045769,-0.79166359114,0.5
v1,true_oos,T2,H1,2025-05,2,0,-0.651154439287,-1.30230887857,-1.30230887857,0
v1,true_oos,T2,H1,2025-06,1,0,-0.709733384895,-0.709733384895,-0.709733384895,0
v1,true_oos,T2,H1,2025-07,7,5.92351510868,1.77332673126,12.4132871188,-2.37051145875,0.571428571429
v1,true_oos,T2,H1,2025-08,4,0,-0.767363731284,-3.06945492514,-3.06945492514,0
v1,true_oos,T2,H1,2025-10,6,0,-0.888332156581,-5.32999293948,-5.32999293949,0
v1,true_oos,T2,H1,2025-11,4,5.61637054316,1.23303461164,4.93213844655,-1.06840176724,0.75
v1,true_oos,T2,H1,2025-12,5,1.86419129029,0.184830213275,0.924151066375,-1.06938252764,0.6
v1,true_oos,T2,H1,2026-01,1,NA,0.585517063785,0.585517063785,0,1
v1,true_oos,T2,H1,2026-02,3,0.135225252133,-0.388280950464,-1.16484285139,-1.34698990028,0.333333333333
v1,true_oos,T2,H1,2026-04,5,5.16855652302,2.09586585544,10.4793292772,-1.7805412095,0.2
v1,true_oos,T2,H1,2026-05,2,NA,0.28610167637,0.57220335274,0,1
v1,true_oos,T2,H1,2026-06,3,1.39140386403,0.263592874567,0.7907786237,-2.02036488747,0.333333333333
v1,true_oos,T2,H1,2026-07,7,4.54000977159,1.53805140465,10.7663598325,-1.03796632804,0.428571428571
v1,true_oos,T2,H1,2026-08,7,5.94468143126,1.43774732342,10.064231264,-2.03536494795,0.714285714286
v1,baseline,T3,M30,2023-01,2,NA,2.21989718316,4.43979436632,0,1
v1,baseline,T3,M30,2023-02,12,1.8491543382,0.341509675604,4.09811610725,-2.79034147585,0.25
v1,baseline,T3,M30,2023-03,8,1.61487530805,0.243037201139,1.94429760911,-1.78026818471,0.5
v1,baseline,T3,M30,2023-04,12,3.99167589652,1.20022127699,14.4026553239,-4.81424319416,0.583333333333
v1,baseline,T3,M30,2023-05,12,1.4703680875,0.214549602565,2.57459523078,-3.09317451589,0.416666666667
v1,baseline,T3,M30,2023-06,9,0.440464151629,-0.26909258078,-2.42183322702,-4.3282896602,0.444444444444
v1,baseline,T3,M30,2023-07,6,3.502093871,0.742058080672,4.45234848403,-1.01456941145,0.666666666667
v1,baseline,T3,M30,2023-08,20,0.949790756529,-0.0200718482052,-0.401436964104,-2.81279438859,0.45
v1,baseline,T3,M30,2023-09,7,1.33544052932,0.168922186973,1.18245530881,-2.16848936857,0.285714285714
v1,baseline,T3,M30,2023-10,15,6.24085747759,0.87787348549,13.1681022823,-2.07738727986,0.666666666667
v1,baseline,T3,M30,2023-11,12,1.54995849666,0.294684124883,3.53620949859,-3.85382036656,0.333333333333
v1,baseline,T3,M30,2023-12,9,3.53931771627,1.39055156294,12.5149640664,-4.92290522267,0.333333333333
v1,baseline,T3,M30,2024-01,8,3.14941607051,0.508559564372,4.06847651498,-1.06865414327,0.625
v1,baseline,T3,M30,2024-02,13,0.176862227254,-0.504284527251,-6.55569885426,-6.88681207305,0.307692307692
v1,baseline,T3,M30,2024-03,5,0.639475780916,-0.212961902699,-1.0648095135,-2.95350341844,0.4
v1,baseline,T3,M30,2024-04,10,0.709756331694,-0.165358541518,-1.65358541518,-4.53424465895,0.4
v1,baseline,T3,M30,2024-05,11,0.126560166786,-0.523878405877,-5.76266246464,-5.76266246464,0.181818181818
v1,baseline,T3,M30,2024-06,9,7.8629068308,2.15417581641,19.3875823477,-1.97351302807,0.444444444444
v1,baseline,T3,M30,2024-07,5,0.961618433285,-0.0222036346666,-0.111018173333,-1.85241928027,0.2
v1,baseline,T3,M30,2024-08,7,1.32632324682,0.19010628042,1.33074396294,-3.07320592203,0.428571428571
v1,baseline,T3,M30,2024-09,14,2.78093460771,0.463436386191,6.48810940668,-1.08364306619,0.571428571429
v1,baseline,T3,M30,2024-10,8,5.46182974088,0.92740075288,7.41920602304,-1.30608503525,0.5
v1,baseline,T3,M30,2024-11,15,3.72375650518,1.08772398805,16.3158598208,-3.09061154871,0.466666666667
v1,baseline,T3,M30,2024-12,6,1.19189425206,0.12315484619,0.738929077142,-3.85070980087,0.333333333333
v1,walk_forward,T3,M30,2024-02,11,0.14716766484,-0.556684090622,-6.12352499684,-6.12352499684,0.272727272727
v1,walk_forward,T3,M30,2024-03,1,NA,1.70854505912,1.70854505912,0,1
v1,walk_forward,T3,M30,2024-04,10,0.709756331695,-0.165358541517,-1.65358541517,-4.53424465895,0.4
v1,walk_forward,T3,M30,2024-05,5,0.200798241351,-0.386114643519,-1.9305732176,-1.9305732176,0.2
v1,walk_forward,T3,M30,2024-06,6,7.90036834709,2.05375242156,12.3225145294,-0.934308229924,0.333333333333
v1,walk_forward,T3,M30,2024-07,4,1.07626112003,0.035316892271,0.141267569084,-1.85241928027,0.25
v1,walk_forward,T3,M30,2024-08,5,2.6616213312,0.675323183258,3.37661591629,-2.03212118964,0.6
v1,walk_forward,T3,M30,2024-09,13,3.84188257455,0.576473911714,7.49416085228,-1.08364306619,0.615384615385
v1,walk_forward,T3,M30,2024-10,5,5.73994025779,1.23815300774,6.19076503872,-1.30608503526,0.4
v1,true_oos,T3,M30,2025-01,9,0.267021665963,-0.305226359685,-2.74703723716,-2.74703723716,0.222222222222
v1,true_oos,T3,M30,2025-02,8,3.05569715782,0.735795717099,5.88636573679,-1.26771707267,0.5
v1,true_oos,T3,M30,2025-03,3,0,-0.719138949253,-2.15741684776,-2.15741684776,0
v1,true_oos,T3,M30,2025-04,3,0.950530073009,-0.026187192968,-0.078561578904,-0.867745325669,0.333333333333
v1,true_oos,T3,M30,2025-05,9,0.0467299440806,-0.867274770579,-7.80547293521,-7.80547293521,0.111111111111
v1,true_oos,T3,M30,2025-07,10,4.23389762747,1.29863009652,12.9863009652,-3.35007535343,0.4
v1,true_oos,T3,M30,2025-08,2,0,-0.28076719864,-0.561534397279,-0.561534397279,0
v1,true_oos,T3,M30,2025-09,9,7.87237367033,2.81983175555,25.3784858,-2.69268746011,0.555555555556
v1,true_oos,T3,M30,2025-10,9,1.36855748262,0.120654438622,1.0858899476,-2.78766553622,0.444444444444
v1,true_oos,T3,M30,2025-11,4,2.90934043279,0.836273525473,3.34509410189,-1.75196316197,0.5
v1,true_oos,T3,M30,2025-12,12,0.3899839758,-0.288262320012,-3.45914784015,-3.62118437968,0.333333333333
v1,true_oos,T3,M30,2026-01,6,NA,0.52609578328,3.15657469968,0,1
v1,true_oos,T3,M30,2026-02,4,0,-0.887798070137,-3.55119228055,-3.55119228055,0
v1,true_oos,T3,M30,2026-03,11,45.5568731068,1.45305542776,15.9836097054,-0.358723774604,0.909090909091
v1,true_oos,T3,M30,2026-04,7,0.427244648911,-0.37942909867,-2.65600369069,-3.18148931739,0.285714285714
v1,true_oos,T3,M30,2026-05,7,11.0891951062,1.62419796176,11.3693857323,-1.00739619062,0.571428571429
v1,true_oos,T3,M30,2026-06,14,2.57470035216,0.610511839291,8.54716575007,-5.42780455872,0.5
v1,true_oos,T3,M30,2026-07,11,1.16877812061,0.0718675260763,0.790542786839,-4.35151473442,0.363636363636
v1,true_oos,T3,M30,2026-08,24,1.77985155518,0.299582443956,7.18997865495,-5.07884198523,0.5
v1,baseline,T3,H1,2023-02,12,0.570113084309,-0.22810628333,-2.73727539997,-4.61940760518,0.333333333333
v1,baseline,T3,H1,2023-03,3,0,-0.512564157042,-1.53769247112,-1.53769247112,0
v1,baseline,T3,H1,2023-04,6,8.3438023866,1.67479324697,10.0487594818,-1.36833195568,0.666666666667
v1,baseline,T3,H1,2023-05,5,NA,1.4599778566,7.29988928301,0,1
v1,baseline,T3,H1,2023-06,8,2.52941719102,0.595222320904,4.76177856723,-3.11345955517,0.375
v1,baseline,T3,H1,2023-07,5,0.46151977534,-0.408599050158,-2.04299525079,-3.79400237414,0.2
v1,baseline,T3,H1,2023-08,7,9.65596266918,1.67330992316,11.7131694621,-1.35319084772,0.714285714286
v1,baseline,T3,H1,2023-09,2,0,-0.934626697322,-1.86925339464,-1.86925339464,0
v1,baseline,T3,H1,2023-10,6,0,-0.725580106372,-4.35348063823,-4.35348063823,0
v1,baseline,T3,H1,2023-11,3,0.250040285308,-0.508375215635,-1.52512564691,-2.03361009535,0.333333333333
v1,baseline,T3,H1,2023-12,4,0.630802972382,-0.186850744089,-0.747402976356,-2.02440139125,0.5
v1,baseline,T3,H1,2024-01,3,4.4045460456,1.13931908522,3.41795725567,-1.00393920655,0.666666666667
v1,baseline,T3,H1,2024-02,4,0,-0.938308639674,-3.75323455869,-3.75323455869,0
v1,baseline,T3,H1,2024-03,4,0.130307651066,-0.504452444834,-2.01780977934,-2.32014203851,0.25
v1,baseline,T3,H1,2024-04,5,0.91523524801,-0.0283585146876,-0.141792573438,-1.42174716015,0.4
v1,baseline,T3,H1,2024-05,5,1.22464475172,0.0902297334377,0.451148667188,-2.00827601686,0.2
v1,baseline,T3,H1,2024-06,7,10.1035257501,3.24669948226,22.7268963758,-1.44896825999,0.571428571429
v1,baseline,T3,H1,2024-08,5,1.10145486009,0.0552133195158,0.276066597579,-2.00765157516,0.4
v1,baseline,T3,H1,2024-09,6,2.22896593863,0.264722083711,1.58833250226,-1.0040875669,0.666666666667
v1,baseline,T3,H1,2024-10,3,NA,0.931932718643,2.79579815593,0,1
v1,baseline,T3,H1,2024-11,9,7.75194570331,1.46339207851,13.1705287066,-1.00912962785,0.666666666667
v1,baseline,T3,H1,2024-12,2,0,-0.98933424895,-1.9786684979,-1.9786684979,0
v1,walk_forward,T3,H1,2024-02,3,0,-1.00691745106,-3.02075235317,-3.02075235317,0
v1,walk_forward,T3,H1,2024-03,4,0.130307651066,-0.504452444834,-2.01780977934,-2.32014203851,0.25
v1,walk_forward,T3,H1,2024-05,1,NA,2.45942468404,2.45942468404,0,1
v1,walk_forward,T3,H1,2024-06,7,10.1035257501,3.24669948226,22.7268963758,-1.44896825999,0.571428571429
v1,walk_forward,T3,H1,2024-08,3,4.20105589645,0.761239390914,2.28371817274,-0.713426521315,0.666666666667
v1,walk_forward,T3,H1,2024-09,6,2.22896593863,0.264722083711,1.58833250226,-1.0040875669,0.666666666667
v1,walk_forward,T3,H1,2024-11,8,6.42268293536,1.35882047183,10.8705637746,-1.18485054942,0.625
v1,walk_forward,T3,H1,2024-12,2,0,-0.98933424895,-1.9786684979,-1.9786684979,0
v1,true_oos,T3,H1,2025-02,4,5.63568385087,1.1606343914,4.6425375656,-1.00147846897,0.75
v1,true_oos,T3,H1,2025-03,3,5.69871228272,1.56887814161,4.70663442482,-1.00168602409,0.666666666667
v1,true_oos,T3,H1,2025-04,3,0.274454566406,-0.4621943823,-1.3865831469,-1.91109072251,0.333333333333
v1,true_oos,T3,H1,2025-06,3,0,-1.02030212846,-3.06090638538,-3.06090638538,0
v1,true_oos,T3,H1,2025-07,7,4.08158423783,1.16138543006,8.12969801042,-2.63815537171,0.428571428571
v1,true_oos,T3,H1,2025-09,6,4.983162482,1.58681964441,9.52091786644,-1.86442009588,0.333333333333
v1,true_oos,T3,H1,2025-10,11,1.70767279193,0.350087065205,3.85095771725,-2.89535444792,0.363636363636
v1,true_oos,T3,H1,2025-11,4,0,-0.672065534885,-2.68826213954,-2.68826213954,0
v1,true_oos,T3,H1,2025-12,9,0.0941603766515,-0.43699443632,-3.93294992688,-4.15711146782,0.222222222222
v1,true_oos,T3,H1,2026-01,4,2.25154215317,0.159199423102,0.636797692408,-0.508810423042,0.25
v1,true_oos,T3,H1,2026-02,3,0,-0.88827288821,-2.66481866463,-2.66481866463,0
v1,true_oos,T3,H1,2026-03,9,51.1094415692,1.69447484939,15.2502736445,-0.304339325423,0.888888888889
v1,true_oos,T3,H1,2026-04,3,2.72688138676,0.495459162573,1.48637748772,-0.86072934662,0.666666666667
v1,true_oos,T3,H1,2026-05,4,4.80921382964,0.495764749747,1.98305899899,-0.520595347932,0.5
v1,true_oos,T3,H1,2026-06,8,4.65444469596,0.75591724676,6.04733797408,-1.3997782197,0.5
v1,true_oos,T3,H1,2026-07,4,0,-0.4017816009,-1.6071264036,-1.6071264036,0
v1,true_oos,T3,H1,2026-08,12,11.69524682,1.35972811568,16.3167373881,-1.35380850683,0.75
v2,baseline,T2,M30,2020-01,6,0.274894729989,-0.510645825257,-3.06387495154,-3.06387495154,0.166666666667
v2,baseline,T2,M30,2020-02,16,2.62675454912,0.817873570052,13.0859771208,-3.78995812812,0.375
v2,baseline,T2,M30,2020-03,17,1.71320066692,0.345393984781,5.87169774127,-4.63307559895,0.352941176471
v2,baseline,T2,M30,2020-04,31,0.305453816875,-0.362818670308,-11.2473787795,-11.2473787795,0.161290322581
v2,baseline,T2,M30,2020-05,16,3.54344573157,1.08964027885,17.4342444616,-2.50488026195,0.4375
v2,baseline,T2,M30,2020-06,15,1.85535813707,0.401684047511,6.02526071267,-4.32392868346,0.466666666667
v2,baseline,T2,M30,2020-07,21,2.83181917133,0.702334685147,14.7490283881,-1.91160530674,0.428571428571
v2,baseline,T2,M30,2020-08,24,0.489438131331,-0.282137001132,-6.77128802717,-6.92001038961,0.208333333333
v2,baseline,T2,M30,2020-09,26,0.650707593853,-0.231919075393,-6.02989596021,-10.1264443706,0.153846153846
v2,baseline,T2,M30,2020-10,18,0.147863608502,-0.479460735081,-8.63029323145,-9.18377989233,0.222222222222
v2,baseline,T2,M30,2020-11,17,2.47590727992,0.778902290563,13.2413389396,-5.01588546503,0.352941176471
v2,baseline,T2,M30,2020-12,18,1.09293699706,0.0391403368947,0.704526064104,-3.35398686591,0.333333333333
v2,baseline,T2,M30,2021-01,15,2.26737118892,0.353988288956,5.30982433434,-2.04409369823,0.533333333333
v2,baseline,T2,M30,2021-02,20,1.28922288447,0.13524276177,2.7048552354,-3.01251381406,0.45
v2,baseline,T2,M30,2021-03,23,2.77578190451,0.633283456561,14.5655195009,-3.66151699974,0.434782608696
v2,baseline,T2,M30,2021-04,14,0.352293456732,-0.351848242636,-4.9258753969,-5.96130321257,0.285714285714
v2,baseline,T2,M30,2021-05,23,0.8934461241,-0.049300260059,-1.13390598136,-5.56475572911,0.347826086957
v2,baseline,T2,M30,2021-06,25,1.86515396846,0.466382339782,11.6595584946,-6.92329211388,0.2
v2,baseline,T2,M30,2021-07,24,2.06195386794,0.410732236561,9.85757367747,-4.41707084474,0.416666666667
v2,baseline,T2,M30,2021-08,35,0.685383263885,-0.171536609796,-6.00378134287,-7.76647178241,0.371428571429
