generation,strategy,timeframe,futures_type,instrument_universe,lifecycle_stage,candidate_id,classification,period_start,period_end,first_trade_exit,last_trade_exit,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_win_R,average_loss_R,trade_frequency,trade_frequency_provenance,bootstrap_probability_mean_R_gt_0,observed_quarters,positive_quarters,positive_quarter_share,instrument_gate,direction_gate,net_R_without_top1,top1_positive_R_share,net_R_without_top3,top3_positive_R_share,net_R_without_top5,top5_positive_R_share,concentration_provenance,baseline_PF,baseline_expectancy_R,baseline_max_drawdown_R,WF_PF,WF_expectancy_R,WF_max_drawdown_R,TRUE_OOS_PF,TRUE_OOS_expectancy_R,TRUE_OOS_max_drawdown_R,phase2_candidate_PF,phase2_candidate_expectancy_R,phase2_candidate_max_drawdown_R
v1,T3,H1,perpetual,USDRUBF|CNYRUBF,walk_forward,T3_candidate_v1,WALK_FORWARD_BORDERLINE,NA,NA,2024-02-21T16:00:00+03:00,2024-12-09T16:00:00+03:00,34,3.38032767202,0.967991319974,32.9117048791,-5.03856213251,6.53196368598,0.5,2.7493087474,-0.813326107453,NA,NA,NA,4,3,0.75,NA,NA,18.9472369544,0.298780299036,5.74379240429,0.581277930327,-0.00438280833936,0.704264464307,DERIVED_FROM_C1_TRADES,2.13329433172,0.487242051472,-12.9984183288,3.38032767202,0.967991319974,-5.03856213251,2.67722820365,0.590007031994,-11.4999386679,2.05031716776,0.463442957611,-16.7839035694
v1,T3,H1,perpetual,USDRUBF|CNYRUBF,true_oos,T3_candidate_v1,PASS,NA,NA,2025-02-12T23:00:00+03:00,2026-08-28T10:00:00+03:00,97,2.67722820365,0.590007031994,57.2306821034,-11.4999386679,4.97660759386,0.443298969072,2.12448515739,-0.63189221601,NA,NA,NA,7,5,0.714285714286,NA,NA,49.9921751618,0.0792367836273,38.0809661863,0.209623601784,28.0794809111,0.319105506146,DERIVED_FROM_C1_TRADES,2.13329433172,0.487242051472,-12.9984183288,3.38032767202,0.967991319974,-5.03856213251,2.67722820365,0.590007031994,-11.4999386679,2.05031716776,0.463442957611,-16.7839035694
v2,T2,M30,quarterly,Si|CNY|GD|BR|MIX|NG,baseline,NA,NA,NA,NA,2020-01-16T10:30:00+03:00,2024-12-28T16:30:00+03:00,1438,1.26342603406,0.124826202361,179.500078995,-29.8239638364,6.01865265059,0.349791376912,1.71154289175,-0.728776465835,196.4,SOURCE,NA,20,16,0.8,NA,NA,164.795508354,0.0170803425314,138.718436369,0.0473706061919,118.310654696,0.071075609881,DERIVED_FROM_C1_TRADES,1.26342603406,0.124826202361,-29.8239638364,1.13601833652,0.0670674887981,-13.5709264558,1.63039345829,0.320392056582,-17.9033585907,1.38439307062,0.179005404674,-33.5282069751
v2,T2,M30,quarterly,Si|CNY|GD|BR|MIX|NG,walk_forward,T2_M30_candidate_v2,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-15T09:00:00+03:00,2024-12-28T11:00:00+03:00,210,1.13601833652,0.0670674887981,14.0841726476,-13.5709264558,1.0378195397,0.4,1.40036077137,-0.821794699586,NA,NA,NA,4,3,0.75,false,NA,5.57593920173,0.0723302847906,-6.72878838205,0.176935365983,-17.0384597229,0.264580053793,DERIVED_FROM_C1_TRADES,1.26342603406,0.124826202361,-29.8239638364,1.13601833652,0.0670674887981,-13.5709264558,1.63039345829,0.320392056582,-17.9033585907,1.38439307062,0.179005404674,-33.5282069751
v2,T2,M30,quarterly,Si|CNY|GD|BR|MIX|NG,true_oos,T2_M30_candidate_v2,BORDERLINE,NA,NA,2025-01-15T20:00:00+03:00,2026-09-15T07:00:00+03:00,437,1.63039345829,0.320392056582,140.011328726,-17.9033585907,7.82039459341,0.33409610984,2.48022481136,-0.763235373652,NA,NA,0.9549,7,6,0.857142857143,false,true,49.2954264431,0.250518337537,11.877939397,0.353849356836,-6.33602139584,0.404148489215,SOURCE,1.26342603406,0.124826202361,-29.8239638364,1.13601833652,0.0670674887981,-13.5709264558,1.63039345829,0.320392056582,-17.9033585907,1.38439307062,0.179005404674,-33.5282069751
v2,T2,H1,quarterly,Si|CNY|GD|BR|MIX|NG,baseline,NA,NA,NA,NA,2020-01-31T11:00:00+03:00,2024-12-28T17:00:00+03:00,707,1.61480664821,0.274919639587,194.368185188,-15.7752217981,12.3211063322,0.370579915134,1.94852446051,-0.710438704419,129.8,SOURCE,NA,20,16,0.8,NA,NA,172.80101979,0.0422460312158,150.114781474,0.086684116349,132.981322793,0.120245347829,DERIVED_FROM_C1_TRADES,1.61480664821,0.274919639587,-15.7752217981,1.67624286881,0.286542923393,-6.50691086668,1.26998883491,0.130412238202,-21.627641451,1.49070753729,0.224423840621,-14.9346837251
v2,T2,H1,quarterly,Si|CNY|GD|BR|MIX|NG,walk_forward,T2_H1_candidate_v2,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-23T09:00:00+03:00,2024-12-28T17:00:00+03:00,117,1.67624286881,0.286542923393,33.525522037,-6.50691086668,5.15229464855,0.376068376068,1.88867450349,-0.679125426254,NA,NA,NA,4,4,1,false,NA,26.100199503,0.0893522573668,16.0651048454,0.21010908058,7.98958207489,0.307285490852,DERIVED_FROM_C1_TRADES,1.61480664821,0.274919639587,-15.7752217981,1.67624286881,0.286542923393,-6.50691086668,1.26998883491,0.130412238202,-21.627641451,1.49070753729,0.224423840621,-14.9346837251
v2,T2,H1,quarterly,Si|CNY|GD|BR|MIX|NG,true_oos,T2_H1_candidate_v2,BORDERLINE,NA,NA,2025-01-24T10:00:00+03:00,2026-09-15T19:00:00+03:00,297,1.26998883491,0.130412238202,38.732434746,-21.627641451,1.79087649635,0.367003367003,1.67148467089,-0.763081885007,NA,NA,0.9085,7,4,0.571428571429,false,true,25.8388067501,0.0707695183569,10.5786208277,0.154528411363,-1.23930647601,0.219393709441,SOURCE,1.61480664821,0.274919639587,-15.7752217981,1.67624286881,0.286542923393,-6.50691086668,1.26998883491,0.130412238202,-21.627641451,1.49070753729,0.224423840621,-14.9346837251
v2,T3,M30,quarterly,Si|CNY|GD|BR|MIX|NG,baseline,NA,NA,NA,NA,2020-01-28T14:00:00+03:00,2024-12-30T23:00:00+03:00,1563,1.36949736407,0.164794611832,257.573978294,-27.1058951497,9.50250773389,0.401151631478,1.52259465575,-0.744757340664,316.2,SOURCE,NA,20,16,0.8,NA,NA,244.41335742,0.0137855639224,224.620397451,0.0345184090892,209.166035014,0.050706634805,DERIVED_FROM_C1_TRADES,1.36949736407,0.164794611832,-27.1058951497,1.18734689622,0.0910723949193,-13.6481471103,1.45560747392,0.223137946374,-19.3664410121,1.36261268342,0.162875006507,-22.5343558886
v2,T3,M30,quarterly,Si|CNY|GD|BR|MIX|NG,walk_forward,T3_M30_candidate_v2,WALK_FORWARD_BORDERLINE,NA,NA,2024-01-22T15:30:00+03:00,2024-12-30T23:00:00+03:00,324,1.18734689622,0.0910723949193,29.5074559539,-13.6481471103,2.16201186252,0.37962962963,1.52039969873,-0.783590582037,NA,NA,NA,4,4,1,false,NA,16.3468350803,0.0703742034158,0.89247264279,0.153013803499,-11.2454739209,0.217919428296,DERIVED_FROM_C1_TRADES,1.36949736407,0.164794611832,-27.1058951497,1.18734689622,0.0910723949193,-13.6481471103,1.45560747392,0.223137946374,-19.3664410121,1.36261268342,0.162875006507,-22.5343558886
