generation,lifecycle_stage,strategy,timeframe,instrument,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_win_R,average_loss_R
v1,development,T2,M30,CNY,79,1.51583168381,0.22577545418,17.8362608802,-8.71467424077,2.04669278363,0.405063291139,1.63793553034,-0.735695235974
v1,development,T2,M30,Si,99,1.46660362726,0.220014415113,21.7814270962,-8.17554240967,2.66421798148,0.262626262626,2.63316229152,-0.639462910729
v1,walk_forward,T2,M30,CNYRUBF,28,0.855546691571,-0.0718275060906,-2.01117017054,-5.38665105219,-0.37336188126,0.392857142857,1.08286011351,-0.818978318773
v1,walk_forward,T2,M30,USDRUBF,39,1.55821675028,0.248831938464,9.70444560008,-4.74252111081,2.04626302621,0.25641025641,2.70891722234,-0.599473331837
v1,true_oos,T2,M30,CNYRUBF,89,0.967139481566,-0.0175260585186,-1.55981920816,-17.543555744,-0.0889112350377,0.292134831461,1.76569471889,-0.753458442848
v1,true_oos,T2,M30,USDRUBF,82,1.7861963325,0.361873689118,29.6736425077,-8.22602131321,3.60728976717,0.329268292683,2.49692372457,-0.686241782829
v1,development,T2,H1,CNY,38,2.6262830423,0.622654774967,23.6608814487,-3.50967411684,6.74161778589,0.473684210526,2.12277424786,-0.727452750638
v1,development,T2,H1,Si,41,2.92570592294,0.876377218854,35.931465973,-10.1651646221,3.53476478825,0.414634146341,3.211195302,-0.777452256707
v1,walk_forward,T2,H1,CNY,16,5.7078992564,1.01383583342,16.2213733347,-1.11000181041,14.613826016,0.6875,1.78790349334,-0.689113018409
v1,walk_forward,T2,H1,Si,17,2.25603076111,0.631361160381,10.7331397265,-6.39695665788,1.67785093764,0.294117647059,3.85568477078,-0.712107010618
v1,true_oos,T2,H1,CNY,34,1.50074479734,0.246486583521,8.38054383973,-9.05454485954,0.925562131475,0.352941176471,2.09305845231,-0.760734435819
v1,true_oos,T2,H1,Si,35,3.50635405215,0.985061211746,34.4771424111,-4.45086774152,7.74616196511,0.514285714286,2.67961317259,-0.809170276209
v1,development,T3,M30,CNY,116,1.86401648256,0.370507752591,42.9788993005,-7.67753102799,5.59801049893,0.431034482759,1.85444093522,-0.753684052434
v1,development,T3,M30,Si,119,2.31575582918,0.522479092937,62.1750120595,-12.8464423271,4.83986231177,0.46218487395,1.98962235467,-0.73834714761
v1,walk_forward,T3,M30,CNYRUBF,29,1.5103296508,0.209792720709,6.08398890056,-4.71249049595,1.29103473117,0.413793103448,1.50047275281,-0.701275537245
v1,walk_forward,T3,M30,USDRUBF,31,2.18924823709,0.498135368861,15.4421964347,-7.08087983604,2.18083017821,0.41935483871,2.18669500401,-0.72137992319
v1,true_oos,T3,M30,CNYRUBF,85,1.73793126556,0.333146459018,28.3174490165,-10.8247546108,2.61598992629,0.388235294118,2.02095606524,-0.737963483394
v1,true_oos,T3,M30,USDRUBF,77,2.59573932135,0.576436078656,44.3855780565,-3.96045716111,11.2071854967,0.506493506494,1.85129830065,-0.731975149184
v1,development,T3,H1,CNY,52,2.27990528968,0.564644174521,29.3614970751,-4.90558783366,5.98531675931,0.403846153846,2.49056495612,-0.740011838823
v1,development,T3,H1,Si,62,2.11237957617,0.449905832608,27.8941616217,-7.92218861546,3.5210171047,0.467741935484,1.82656136964,-0.7598823666
v1,walk_forward,T3,H1,CNY,18,3.38269896761,0.989411943835,17.809414989,-2.94555261956,6.04620500437,0.444444444444,3.16048578293,-0.747447127444
v1,walk_forward,T3,H1,Si,16,3.62853383531,0.982555785821,15.7208925731,-1.96146369562,8.01487817912,0.5625,2.41130582873,-0.854408555063
v1,true_oos,T3,H1,CNY,49,2.80825837708,0.569290484508,27.8952337409,-4.56426834629,6.11165506155,0.469387755102,1.88355690821,-0.593329813383
v1,true_oos,T3,H1,Si,48,2.56910937737,0.611155174219,29.3354483625,-6.93567032157,4.22964861396,0.416666666667,2.40155264395,-0.667700161306
v2,development,T2,M30,BR,257,1.30390871205,0.144624818138,37.1685782615,-14.9602474991,2.48448952891,0.369649805447,1.67863541315,-0.754949296223
v2,development,T2,M30,CNY,138,1.21046971829,0.09987319899,13.7825014606,-19.4574259608,0.708341457312,0.304347826087,1.88730924104,-0.682130069408
v2,development,T2,M30,GD,218,0.906141698135,-0.0447276132885,-9.7506196969,-20.2572760046,-0.481339134378,0.334862385321,1.28953395259,-0.716459298177
v2,development,T2,M30,MIX,299,1.33833838581,0.159783958052,47.7754034575,-17.2304569911,2.77272990972,0.354515050167,1.78284324345,-0.731637203879
v2,development,T2,M30,NG,257,1.59319334297,0.275486038555,70.7999119086,-11.1488422198,6.35042729219,0.381322957198,1.94034455453,-0.750653172548
v2,development,T2,M30,Si,269,1.15269645622,0.073324548713,19.7243036038,-25.65554972,0.768812355186,0.330855018587,1.67300666842,-0.717629388252
v2,walk_forward,T2,M30,BR,24,0.900412899914,-0.0748084541447,-1.79540289947,-7.25190448796,-0.247576743799,0.291666666667,2.31900937519,-1.06049814857
v2,walk_forward,T2,M30,CNY,37,0.843155281885,-0.0761715045131,-2.81834566699,-9.44101658003,-0.298521419075,0.297297297297,1.37733390872,-0.69111610242
v2,walk_forward,T2,M30,GD,28,0.974980704574,-0.00926855736044,-0.259519606092,-3.2480740443,-0.0798995350947,0.571428571429,0.632078671906,-0.864398196382
