candidate,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,average_holding_minutes
T2_M5_candidate_v1,830,0.302409638554,1.10572933392,0.061035668028,50.6596044632,-56.4226125007,121.120481928
T3_M5_candidate_v1,1131,0.374889478338,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922,101.41025641
