session,holding_bucket,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_MAE_R,average_MFE_R,average_final_R
Session_A,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_A,5-15 min,8,0,-0.791185233921,-6.32948187137,-6.32948187137,-1,0,0.731019832164,0.566821197294,-0.791185233921
Session_A,15-30 min,10,0.0686104647048,-0.594577738373,-5.94577738373,-5.94577738373,-1,0.2,0.632500128715,0.972547866652,-0.594577738373
Session_A,30-60 min,4,0.582564187619,-0.227640520617,-0.910562082469,-1.98780413356,-0.458074348019,0.5,0.744178258833,1.4250812334,-0.227640520617
Session_A,60-120 min,7,0.278760140183,-0.438881427162,-3.07216999013,-3.08870339419,-0.994647137666,0.285714285714,0.766691644464,1.0992348708,-0.438881427162
Session_A,120+ min,1,DATA_UNAVAILABLE,5.00014717159,5.00014717159,0,DATA_UNAVAILABLE,1,0,6.64576522806,5.00014717159
Session_B,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_B,5-15 min,83,0.00126098498401,-1.03198842342,-85.655039144,-85.655039144,-1,0.0120481927711,0.984089039766,0.170841298455,-1.03198842342
Session_B,15-30 min,127,0.123455383358,-0.740676041072,-94.0658572162,-94.0658572162,-1,0.0787401574803,0.818899765243,0.721175430765,-0.740676041072
Session_B,30-60 min,198,0.412051999427,-0.350189350627,-69.3374914242,-69.3374914242,-1,0.277777777778,0.626268869242,1.24189950029,-0.350189350627
Session_B,60-120 min,245,1.878300639,0.257553697076,63.1006557837,-8.108639868,7.78190384712,0.485714285714,0.467416193453,1.78808476871,0.257553697076
Session_B,120+ min,165,21.7912818477,1.7875230304,294.941300016,-1.69723945004,173.777070766,0.775757575758,0.473204746256,3.22059564898,1.7875230304
Session_C,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
Session_C,5-15 min,17,0,-1.05185324042,-17.8815050872,-17.8815050872,-1,0,1.0062190464,0.0226705738476,-1.05185324042
Session_C,15-30 min,31,0.00275889388763,-0.978476542511,-30.3327728178,-30.3327728178,-1,0.0645161290323,0.942193264166,0.38965615961,-0.978476542511
Session_C,30-60 min,43,0.114064178632,-0.71670507591,-30.8183182641,-31.6898988878,-0.972496579217,0.139534883721,0.831811276181,0.73088604716,-0.71670507591
Session_C,60-120 min,76,0.718489105664,-0.127228399213,-9.6693583402,-11.9588106156,-0.808555185878,0.328947368421,0.583376968223,1.24334318011,-0.127228399213
Session_C,120+ min,116,4.54425667724,0.676780008356,78.5064809693,-3.43248667083,22.8716054854,0.612068965517,0.558356447578,1.70181163276,0.676780008356
