row_type,instrument,holding_bucket,outcome,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_minutes,median_minutes,minimum_minutes,maximum_minutes,percentile_25_minutes,percentile_75_minutes,average_MAE_R,average_MFE_R,average_final_R
HOLDING_BUCKET,USDRUBF,0-5 min,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,USDRUBF,5-15 min,DATA_UNAVAILABLE,54,0,-1.00857033196,-54.462797926,-54.462797926,-1,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.993458707206,0.0951307999308,-1.00857033196
HOLDING_BUCKET,USDRUBF,15-30 min,DATA_UNAVAILABLE,94,0.105543278394,-0.703866386019,-66.1634402858,-66.1634402858,-1,0.0851063829787,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.790536417172,0.716759706632,-0.703866386019
HOLDING_BUCKET,USDRUBF,30-60 min,DATA_UNAVAILABLE,132,0.336101089694,-0.39234178144,-51.7891151501,-54.2558768686,-0.95453466314,0.265151515152,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.654277476888,1.12587631626,-0.39234178144
HOLDING_BUCKET,USDRUBF,60-120 min,DATA_UNAVAILABLE,160,1.79840878325,0.241881698962,38.7010718338,-6.45880719556,5.99198438071,0.475,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.478176521605,1.70358335107,0.241881698962
HOLDING_BUCKET,USDRUBF,120+ min,DATA_UNAVAILABLE,164,14.6308438353,1.41264795801,231.674265114,-2.3392504105,99.0378217201,0.756097560976,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.499391600718,2.65673272948,1.41264795801
DURATION,USDRUBF,DATA_UNAVAILABLE,WINNING,243,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,144.403292181,120,15,885,72.5,187.5,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
DURATION,USDRUBF,DATA_UNAVAILABLE,LOSING,361,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,56.3434903047,40,5,665,20,75,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,CNYRUBF,0-5 min,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
HOLDING_BUCKET,CNYRUBF,5-15 min,DATA_UNAVAILABLE,54,0.00194817891271,-1.02598570697,-55.4032281765,-55.4032281765,-1,0.0185185185185,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0.944194491806,0.258569146468,-1.02598570697
