outcome,trades,average_minutes,median_minutes,minimum_minutes,maximum_minutes,percentile_25_minutes,percentile_75_minutes
WINNING,424,151.768867925,110,10,965,70,181.25
LOSING,707,71.2093352192,40,5,3705,20,75
