variant,dimension,period,contribution_R,share_of_positive_R
BASELINE,trade,TOP_1,16.4564702653,0.0140280731619
BASELINE,trade,TOP_5,67.7778326403,0.057776204721
BASELINE,year,2023,554.013906292,0.472260909227
BASELINE,year,2024,619.095905397,0.527739090773
BASELINE,month,2023-01,13.169324894,0.0112259950115
BASELINE,month,2023-02,46.0645760534,0.0392670622941
BASELINE,month,2023-03,30.6925898783,0.0261634414549
BASELINE,month,2023-04,76.2135765568,0.0649671290764
BASELINE,month,2023-05,34.9231718926,0.0297697381307
BASELINE,month,2023-06,36.2141035294,0.030870173592
BASELINE,month,2023-07,42.6761561163,0.0363786541473
BASELINE,month,2023-08,55.8505892625,0.0476090036125
BASELINE,month,2023-09,25.7640430373,0.0219621750501
BASELINE,month,2023-10,50.5286866591,0.0430724269421
BASELINE,month,2023-11,51.3148757768,0.043742602155
BASELINE,month,2023-12,90.6022126354,0.0772325077607
BASELINE,month,2024-01,41.9106959564,0.0357261490261
BASELINE,month,2024-02,28.5302722919,0.0243202060093
BASELINE,month,2024-03,61.201818568,0.0521705793935
BASELINE,month,2024-04,42.7747781636,0.0364627230438
BASELINE,month,2024-05,71.6018315375,0.0610359156696
BASELINE,month,2024-06,59.621104664,0.0508231233512
BASELINE,month,2024-07,30.2787630803,0.0258106809598
BASELINE,month,2024-08,30.6089080959,0.0260921081649
BASELINE,month,2024-09,56.5328796976,0.0481906119395
BASELINE,month,2024-10,36.85692059,0.0314181334286
BASELINE,month,2024-11,91.3540978557,0.0778734411267
BASELINE,month,2024-12,67.8238348962,0.0578154186594
SESSION_CANDIDATE,trade,TOP_1,16.4564702653,0.0184262655717
SESSION_CANDIDATE,trade,TOP_5,67.7778326403,0.075890657229
SESSION_CANDIDATE,year,2023,419.255048453,0.469438752085
SESSION_CANDIDATE,year,2024,473.843458202,0.530561247915
SESSION_CANDIDATE,month,2023-01,5.99229643856,0.00670955823339
SESSION_CANDIDATE,month,2023-02,35.7379419107,0.0400156776037
SESSION_CANDIDATE,month,2023-03,25.6327874881,0.0287009633283
SESSION_CANDIDATE,month,2023-04,64.0065158938,0.0716679239936
SESSION_CANDIDATE,month,2023-05,19.56166557,0.0219031444172
SESSION_CANDIDATE,month,2023-06,32.7478733323,0.0366677058446
SESSION_CANDIDATE,month,2023-07,25.4204687406,0.0284632305968
SESSION_CANDIDATE,month,2023-08,45.8934446327,0.0513867667348
SESSION_CANDIDATE,month,2023-09,15.6683779623,0.017543840736
SESSION_CANDIDATE,month,2023-10,42.9688512729,0.0481121074021
SESSION_CANDIDATE,month,2023-11,25.5093605011,0.0285627624624
SESSION_CANDIDATE,month,2023-12,80.1154647099,0.0897050707317
SESSION_CANDIDATE,month,2024-01,35.8616376,0.040154179335
SESSION_CANDIDATE,month,2024-02,12.5686028992,0.0140730309205
SESSION_CANDIDATE,month,2024-03,44.5737626794,0.049909122395
SESSION_CANDIDATE,month,2024-04,36.7457098992,0.0411440727147
SESSION_CANDIDATE,month,2024-05,60.926888697,0.06821967369
SESSION_CANDIDATE,month,2024-06,35.1396393274,0.0393457598076
SESSION_CANDIDATE,month,2024-07,27.8020482724,0.0311298788042
SESSION_CANDIDATE,month,2024-08,21.8014148602,0.0244109856838
SESSION_CANDIDATE,month,2024-09,50.7856632395,0.0568645707736
SESSION_CANDIDATE,month,2024-10,19.2270666685,0.0215284949255
SESSION_CANDIDATE,month,2024-11,67.3400401323,0.0754004621333
SESSION_CANDIDATE,month,2024-12,61.0709839271,0.0683810167322
SESSION_EMA50_NORMAL,trade,TOP_1,14.6330396258,0.0694909028325
SESSION_EMA50_NORMAL,trade,TOP_5,58.2951840823,0.276838242515
SESSION_EMA50_NORMAL,year,2023,105.420872569,0.500633620873
SESSION_EMA50_NORMAL,year,2024,105.154023271,0.499366379127
SESSION_EMA50_NORMAL,month,2023-01,0,0
SESSION_EMA50_NORMAL,month,2023-02,9.52058527747,0.0452123470819
SESSION_EMA50_NORMAL,month,2023-03,4.0719907099,0.019337493644
SESSION_EMA50_NORMAL,month,2023-04,25.9720037946,0.123338557006
SESSION_EMA50_NORMAL,month,2023-05,0,0
SESSION_EMA50_NORMAL,month,2023-06,3.6031190732,0.0171108671754
SESSION_EMA50_NORMAL,month,2023-07,7.23556995672,0.0343610283071
SESSION_EMA50_NORMAL,month,2023-08,18.8177267915,0.0893635811447
SESSION_EMA50_NORMAL,month,2023-09,2.01484319544,0.00956829724358
SESSION_EMA50_NORMAL,month,2023-10,6.41533731815,0.0304658221131
SESSION_EMA50_NORMAL,month,2023-11,5.64787135622,0.0268211998096
SESSION_EMA50_NORMAL,month,2023-12,22.1218250963,0.105054427348
SESSION_EMA50_NORMAL,month,2024-01,4.58570423704,0.0217770699529
SESSION_EMA50_NORMAL,month,2024-02,1.44408610351,0.00685782651228
SESSION_EMA50_NORMAL,month,2024-03,9.56575046287,0.045426832219
SESSION_EMA50_NORMAL,month,2024-04,13.5144926704,0.0641790305365
SESSION_EMA50_NORMAL,month,2024-05,11.2876334671,0.0536038895901
SESSION_EMA50_NORMAL,month,2024-06,0.803921256541,0.0038177450039
SESSION_EMA50_NORMAL,month,2024-07,1.20774789978,0.00573547903211
SESSION_EMA50_NORMAL,month,2024-08,9.06351965984,0.0430417862664
SESSION_EMA50_NORMAL,month,2024-09,13.8715332617,0.0658745820878
SESSION_EMA50_NORMAL,month,2024-10,0.771402397904,0.00366331606066
SESSION_EMA50_NORMAL,month,2024-11,30.4798285356,0.144745784696
SESSION_EMA50_NORMAL,month,2024-12,8.55840331864,0.0406430371697
