direction,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,losing_streak,average_holding_time
LONG,BASELINE,1118,0.361359570662,1.11792259142,0.0606178075286,67.770708817,-74.3877617539,0.911046484248,19,119.454382826
SHORT,BASELINE,843,0.321470937129,1.15301361372,0.0835339809787,70.419145965,-41.7461851369,1.68684026419,17,96.8861209964
LONG,SESSION_CANDIDATE,767,0.367666232073,1.31103430471,0.15248486582,116.955892084,-41.5176031775,2.81701936367,16,81.479791395
SHORT,SESSION_CANDIDATE,582,0.331615120275,1.28610064914,0.152936554653,89.0090748078,-29.5586501672,3.01126994312,12,74.3470790378
LONG,EMA50_NORMAL,212,0.334905660377,1.45350591445,0.239840238302,50.84613052,-17.6805152778,2.87582854464,10,94.6226415094
SHORT,EMA50_NORMAL,139,0.31654676259,1.43653943728,0.23507473222,32.6753877786,-14.2451773136,2.29378596414,8,80.5395683453
