instrument,variant,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,losing_streak,average_holding_time
USDRUBF,BASELINE,1060,0.370754716981,1.34707922033,0.166758134208,176.76362226,-30.5538447212,5.78531519922,12,96.9858490566
CNYRUBF,BASELINE,901,0.312985571587,0.926614356446,-0.0428121725618,-38.5737674782,-65.011136184,-0.593340921915,17,124.772475028
USDRUBF,SESSION_CANDIDATE,737,0.374491180461,1.55509145746,0.259440170852,191.207405918,-22.5275184022,8.48772610033,10,79.8439620081
CNYRUBF,SESSION_CANDIDATE,612,0.325163398693,1.04306608478,0.024113661722,14.7575609739,-31.2085670479,0.472868906516,14,76.6666666667
USDRUBF,EMA50_NORMAL,194,0.39175257732,1.8281201046,0.38207845314,74.1232199092,-11.0708622986,6.69534295615,12,84.4587628866
CNYRUBF,EMA50_NORMAL,157,0.248407643312,1.09643134965,0.0598617731814,9.39829838948,-16.4174226928,0.572458818009,14,94.7133757962
USDRUBF,EMA50_EXTENDED,844,0.367298578199,1.2539103364,0.123980356287,104.639420707,-26.7315234018,3.91445781573,12,97.1563981043
CNYRUBF,EMA50_EXTENDED,717,0.327754532775,0.860090245456,-0.0808767129975,-57.9886032192,-79.2159825452,-0.732031609734,14,133.69595537
