year,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,0,,,0,0,,
2024,27,2.54740564919,0.509783547462,13.7641557815,-5.1894859844,2.65231582142,0.481481481481
