fold_id,train_start,train_end,test_start,test_end,initial_state,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak,LONG_trades,SHORT_trades,USDRUBF_trades,CNYRUBF_trades,positive_fold
WF01,2023-01-03T09:30:00+03:00,2024-02-01T00:00:00+03:00,2024-02-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,FLAT,22,0.528744906396,-0.275843879677,-6.06856535289,-8.94922459666,-0.678110744382,0.363636363636,-0.770534273802,4,2,15,7,13,9,False
WF02,2023-01-03T09:30:00+03:00,2024-05-01T00:00:00+03:00,2024-05-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,FLAT,15,2.73992695575,0.70221392539,10.5332088808,-2.86488144752,3.6766648372,0.266666666667,-0.283110743211,6,2,0,15,7,8,True
WF03,2023-01-03T09:30:00+03:00,2024-08-01T00:00:00+03:00,2024-08-01T00:00:00+03:00,2024-11-01T00:00:00+03:00,FLAT,23,3.85537002558,0.741806165535,17.0615418073,-2.03212118963,8.39592731691,0.565217391304,0.38740326797,3,4,20,3,11,12,True
