fold_id,fold_net_R,fold_positive_R,share_of_total_positive_R,share_of_total_net_R
WF01,-6.06856535289,6.80888771924,0.146639901051,-0.281915502369
WF02,10.5332088808,16.5870313393,0.357227308575,0.489320737362
WF03,17.0615418073,23.0367890273,0.496132790374,0.792594765007
