direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak
LONG,35,1.37995615875,0.172018535098,6.02064872844,-7.10515188401,0.84736383215,0.4,-0.41364589087,4,4
SHORT,25,2.7112612567,0.620221464273,15.5055366068,-3.00705971023,5.15637802405,0.44,-0.185549431756,6,3
