direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
LONG,74,1.53402523503,0.230106159115,17.0278557745,-8.4878815576,2.0061372981,0.351351351351
SHORT,40,2.12392473014,0.49620418221,19.8481672884,-5.85099639162,3.3922713261,0.3
