trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-M30-USDRUBF-000012,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-03-29 13:00:00+03:00,2023-03-29 14:30:00+03:00,2023-03-29 14:30:00+03:00,77.11,76.9486690275,0.161330972529,161.330972529,2023-03-30 09:30:00+03:00,77.0842726155,ATR_TRAILING_STOP,20,-0.15946959303,0.0123968756194,-0.171866468649,0.185953134291,1.05373442765,2023-03-29 11:00:00+03:00,3,5899.19534118
T2-M30-USDRUBF-000013,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-03-30 13:00:00+03:00,2023-03-30 13:30:00+03:00,2023-03-30 13:30:00+03:00,77.17,76.9790417344,0.190958265628,190.958265628,2023-03-31 09:30:00+03:00,77.18,ATR_TRAILING_STOP,22,0.0523674634722,0.0104734926944,0.0418939707778,0.366572244305,1.20445165986,2023-03-30 10:00:00+03:00,1,4975.36582577
T2-M30-USDRUBF-000014,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-04-04 15:30:00+03:00,2023-04-04 16:30:00+03:00,2023-04-04 16:30:00+03:00,79.19,78.8507969643,0.339203035671,339.203035671,2023-04-06 16:30:00+03:00,80.5701241297,ATR_TRAILING_STOP,60,4.06872576187,0.00589617364727,4.06282958822,0.530655628255,5.63084583315,2023-04-04 15:00:00+03:00,2,2802.11306582
T2-M30-USDRUBF-000015,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-04-28 10:00:00+03:00,2023-04-28 11:00:00+03:00,2023-04-28 11:00:00+03:00,81.24,81.5522433578,0.312243357828,312.243357828,2023-04-28 17:00:00+03:00,79.753869904,ATR_TRAILING_STOP,12,4.7595250908,0.00640526035177,4.75311983045,0,7.10983899047,2023-04-28 00:00:00+03:00,2,3167.72744632
T2-M30-USDRUBF-000016,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-04-28 18:00:00+03:00,2023-04-28 19:30:00+03:00,2023-04-28 19:30:00+03:00,80.21,81.0105513758,0.800551375772,800.551375772,2023-05-02 19:30:00+03:00,79.9975969435,ATR_TRAILING_STOP,30,0.265320956145,0.00249827813745,0.262822678008,0.41221589268,0.936854301545,2023-04-28 17:30:00+03:00,3,1294.25178979
T2-M30-USDRUBF-000017,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-05-05 15:30:00+03:00,2023-05-05 16:00:00+03:00,2023-05-05 16:00:00+03:00,77.05,77.3751088726,0.32510887257,325.10887257,2023-05-05 16:30:00+03:00,77.3751088726,INITIAL_STOP,1,-1,0.00615178535175,-1.00615178535,0,0,2023-05-05 15:00:00+03:00,1,3195.35479923
T2-M30-USDRUBF-000018,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-17 10:00:00+03:00,2023-05-17 11:00:00+03:00,2023-05-17 11:00:00+03:00,80.76,80.3918257788,0.368174221185,368.174221185,2023-05-17 16:00:00+03:00,80.5309923009,ATR_TRAILING_STOP,10,-0.62200905428,0.00543221085269,-0.627441265132,0.570382139532,0.86915373643,2023-05-17 09:30:00+03:00,2,2793.20454287
T2-M30-USDRUBF-000019,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-23 14:00:00+03:00,2023-05-23 14:30:00+03:00,2023-05-23 14:30:00+03:00,80.23,79.9251387983,0.304861201676,304.861201676,2023-05-23 16:30:00+03:00,80.1,EMA50_TREND_LOSS,4,-0.426423563528,0.00656036251581,-0.432983926044,0.393621750949,0.262414500632,2023-05-23 13:00:00+03:00,1,3352.12675151
T2-M30-USDRUBF-000020,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-23 17:00:00+03:00,2023-05-23 18:30:00+03:00,2023-05-23 18:30:00+03:00,80.24,80.0055579713,0.234442028685,234.442028685,2023-05-24 10:00:00+03:00,80.16,EMA50_TREND_LOSS,13,-0.341235743645,0.00853089359112,-0.349766637236,0.3838902116,0.426544679556,2023-05-23 13:00:00+03:00,3,4340.12872192
T2-M30-USDRUBF-000021,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-24 17:00:00+03:00,2023-05-24 18:00:00+03:00,2023-05-24 18:00:00+03:00,80.14,80.0087628573,0.131237142711,131.237142711,2023-05-25 10:00:00+03:00,80.1188259919,ATR_TRAILING_STOP,14,-0.16134158144,0.0152395881127,-0.176581169553,0.152395881127,1.98114645465,2023-05-24 16:30:00+03:00,2,7726.08772047
T2-M30-USDRUBF-000022,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-30 15:30:00+03:00,2023-05-30 16:00:00+03:00,2023-05-30 16:00:00+03:00,81.02,80.7424320255,0.277567974487,277.567974487,2023-05-31 00:00:00+03:00,80.8355077884,ATR_TRAILING_STOP,16,-0.664673984739,0.00720544221174,-0.671879426951,0.576435376939,1.00876190964,2023-05-30 14:00:00+03:00,1,3646.52742969
T2-M30-USDRUBF-000023,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-31 12:30:00+03:00,2023-05-31 14:00:00+03:00,2023-05-31 14:00:00+03:00,81.16,80.892368648,0.267631351985,267.631351985,2023-05-31 20:30:00+03:00,80.98,EMA50_TREND_LOSS,13,-0.672566942045,0.00747296602272,-0.680039908068,0.93412075284,0.485742791477,2023-05-31 09:30:00+03:00,3,3756.50586325
T2-M30-USDRUBF-000024,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-19 12:30:00+03:00,2023-06-19 13:30:00+03:00,2023-06-19 13:30:00+03:00,84.09,83.80185603,0.288143970023,288.143970023,2023-06-19 16:30:00+03:00,83.80185603,INITIAL_STOP,6,-1,0.00694097467956,-1.00694097468,0.832916961547,0.0347048733978,2023-06-19 10:00:00+03:00,2,3465.35762025
T2-M30-USDRUBF-000025,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-22 17:00:00+03:00,2023-06-22 17:30:00+03:00,2023-06-22 17:30:00+03:00,83.94,83.6739152856,0.266084714438,266.084714438,2023-06-22 20:00:00+03:00,83.85,EMA50_TREND_LOSS,5,-0.338238144156,0.00751640320347,-0.34575454736,0.300656128139,0.56373024026,2023-06-22 16:30:00+03:00,1,3714.85967603
T2-M30-USDRUBF-000026,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-30 12:00:00+03:00,2023-06-30 13:00:00+03:00,2023-06-30 13:00:00+03:00,88.06,87.5620604374,0.497939562576,497.939562576,2023-07-03 09:30:00+03:00,88.744284153,ATR_TRAILING_STOP,23,1.37423134128,0.0040165517069,1.37021478957,0,3.07266205578,2023-06-30 11:00:00+03:00,2,1978.25153735
T2-M30-USDRUBF-000027,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-07-04 17:00:00+03:00,2023-07-04 18:30:00+03:00,2023-07-04 18:30:00+03:00,89.11,88.4259347192,0.684065280796,684.065280796,2023-07-06 12:30:00+03:00,92.4806838985,ATR_TRAILING_STOP,48,4.92743016368,0.00292369757119,4.9245064661,0.438554635679,6.66603046232,2023-07-04 16:00:00+03:00,3,1459.72472211
