strategy,year_month,trades,net_R_C1,expectancy_C1,PF_R_C1
R2,2024-05,7,0.0620085546619,0.00885836495171,1.01235179446
R2,2024-06,8,-5.30916834146,-0.663646042683,0.081256822319
R2,2024-07,17,11.0258285448,0.648578149695,2.52160173759
R2,2024-08,16,-0.583218022335,-0.0364511263959,0.95031859631
R2,2024-09,4,-1.43857621292,-0.359644053231,0.542035297387
R2,2024-10,5,1.0999092017,0.21998184034,1.57894749935
R2,2024-11,3,-1.75658044521,-0.585526815069,0.137165775548
R2,2024-12,20,-2.32802950511,-0.116401475255,0.823487017876
R3,2023-01,145,-18.0426320791,-0.124431945373,0.668825385734
R3,2023-02,148,-24.3256563547,-0.164362542937,0.588275212583
R3,2023-03,121,-24.9068909815,-0.205842074227,0.518158546698
R3,2023-04,124,-26.5623629233,-0.214212604221,0.529059886556
R3,2023-05,135,-38.3617972032,-0.284161460764,0.390304869896
R3,2023-06,148,-19.4644397263,-0.131516484637,0.647291722652
R3,2023-07,171,-49.3493141492,-0.288592480405,0.352638124479
R3,2023-08,185,-39.508377079,-0.213558795022,0.48949510419
R3,2023-09,164,-39.8164256668,-0.242783083334,0.471505811139
R3,2023-10,170,-46.7214146935,-0.274831851138,0.428741242607
R3,2023-11,180,-39.0784486039,-0.217102492244,0.550967050081
R3,2023-12,165,-30.1848704781,-0.182938608958,0.647197239908
R3,2024-01,156,-26.0201078872,-0.16679556338,0.645797085875
R3,2024-02,129,-41.7026235998,-0.323276151937,0.461629165142
R3,2024-03,156,-27.569035937,-0.17672458934,0.635556601565
R3,2024-04,139,-32.3432350011,-0.232685143893,0.589331538539
R3,2024-05,153,-43.4365150535,-0.283898791199,0.493427927315
R3,2024-06,128,-27.122285429,-0.211892854914,0.530216004607
R3,2024-07,188,-42.3007488081,-0.225003983022,0.575428142631
R3,2024-08,165,-44.3588260058,-0.268841369732,0.515850255228
R3,2024-09,155,-25.1801491743,-0.162452575318,0.645248931687
R3,2024-10,177,-30.3641393361,-0.171548809808,0.618679044433
R3,2024-11,140,-13.2773743193,-0.0948383879947,0.783949484329
R3,2024-12,166,-37.3511671306,-0.225007030907,0.523677148359
