strategy,R_p05,R_p10,R_p25,R_median,R_p75,R_p90,R_p95,winner_R_median,winner_R_p90,loser_R_median,loser_R_p10
T1,-1.03840730439,-1.02661942192,-0.933496750688,-0.441336981562,-0.0749641406719,1.09459678298,2.83586756943,1.10996717515,3.90740551225,-0.736187701259,-1.03071199916
T2,-1.03508998034,-1.00790891192,-0.766256217475,-0.400185442969,1.33871046667,3.07331626677,4.39866899091,1.66007165494,4.84085203633,-0.727816895721,-1.02893028003
T3,-1.01704561544,-1.00523080357,-0.977045114571,-0.337279254252,0.971776060994,2.58111736173,4.08097011605,1.42489832577,4.4738014303,-0.939062966271,-1.01682102087
R1,-1.08456087227,-1.06246835385,-1.01044191112,-0.137839145313,0.420154269693,0.807547103791,1.34523425655,0.451428486953,1.39019329039,-1.0100736964,-1.08304712037
R2,-1.19623419612,-1.12814994191,-1.03896599291,-1.00961596806,0.662298586046,2.16335431279,2.72212010569,1.69049683619,4.56881173419,-1.02499457015,-1.1821924604
R3,-1.17786104155,-1.0902539039,-1.03230629709,0.0806431427231,0.38174788991,0.691322397852,1.02442391024,0.361445629397,0.976521116502,-1.03441141937,-1.18782658571
