strategy,trades,mean,median,p25,p75
T1,6,0.432159568325,0.392180904269,0.281317940641,0.588131649143
T2,38,0.460434998291,0.51774342178,0.359242219305,0.616897978837
T3,47,0.434759194212,0.460526315789,0.25802181464,0.591198869618
R1,28,0.821648446952,0.893416043987,0.758928571429,0.985706613285
R2,57,0.662902493147,0.69,0.436363636364,0.957446808511
R3,1989,0.868104916668,0.9,0.8,0.933333333333
