strategy,symbol,trades,PF_R_C0,PF_R_C1,expectancy_C0,expectancy_C1,net_R_C1,winrate_C1,max_DD_R_C1
T1,Si,13,1.18262294402,1.16918639846,0.072555238238,0.0677293347262,0.880481351441,0.307692307692,-2.89364396708
T1,CNY,15,0.588988964119,0.548861695819,-0.227753372013,-0.263904261006,-3.95856391509,0.133333333333,-4.86450771395
T2,Si,50,2.41084064758,2.39239017935,0.61915909209,0.614675632597,30.7337816298,0.38,-10.2743340882
T2,CNY,45,2.22522705871,2.075085517,0.477679799728,0.441098458845,19.849430648,0.422222222222,-3.50967411685
T3,Si,61,1.77365494985,1.76139219627,0.339967345698,0.336233367153,20.5102353964,0.44262295082,-11.3296710442
T3,CNY,48,2.54135077134,2.41817821315,0.653468903472,0.625105145485,30.0050469833,0.416666666667,-5.63165511292
R1,Si,30,1.11819632904,1.09273385492,0.0407282777493,0.032330048625,0.969901458749,0.533333333333,-3.79139003041
R1,CNY,30,0.434002344362,0.34000316745,-0.248195698451,-0.316423485664,-9.49270456993,0.4,-10.4672335236
R2,Si,94,0.892235944571,0.863818824285,-0.0686076082549,-0.0886340739034,-8.33160294692,0.297872340426,-19.192281814
R2,CNY,79,1.31291356156,1.05027487075,0.180065041446,0.0336805042155,2.66075983302,0.367088607595,-8.90456827856
R3,Si,2493,0.55717286628,0.495152144921,-0.179430293958,-0.212068623473,-528.687078319,0.57681508223,-531.182797116
R3,CNY,1215,0.855958977953,0.633838303644,-0.0710180965989,-0.212890336874,-258.661759302,0.453497942387,-265.788941373
