strategy,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T1,0.373397012322,0.822256560318,0.962038268323,1,-7.14838594972,0.48862742817,-0.264755035175,-12.0412867437,0.138605020267,-0.481651469749,-13.5650106639,0.0296027048755,-0.589783072345
T2,0.168732893137,0.309420854158,0.419449768909,0.620758745182,35.2084382211,1.86857643907,0.374557853416,22.3890905943,1.55232886106,0.243359680372,12.3633648892,1.30499868761,0.137370720991
T3,0.141612315461,0.289765784673,0.388088193561,0.572712767254,36.5508144549,1.75996700621,0.338433467175,21.9413197793,1.45620540482,0.206993582823,12.245693232,1.2546132819,0.117747050308
R1,0.139875046292,0.340941326913,0.496031276042,0.721817859956,-10.8054422896,0.565032162111,-0.183143089655,-14.0866692259,0.432947963441,-0.247134547824,-16.6176023941,0.331066476454,-0.302138225348
R2,0.0774839408053,0.182322545852,0.276333036999,0.445949664307,-14.072712774,0.87666824164,-0.081818097523,-25.4407496316,0.777039975414,-0.149651468421,-35.6346541373,0.687701680273,-0.212111036531
R3,0.00551872312986,0.0156931612874,0.0245704974,0.045342912039,-792.68150142,0.547977963003,-0.213833693396,-802.512916543,0.542371655448,-0.21660267653,-811.090960377,0.537480075613,-0.219036176175
