strategy,scenario,trades,PF_R,expectancy_R,net_R,max_DD_R
T1,C0,28,0.816493108986,-0.0883243743966,-2.4730824831,-6.27129444043
T1,C0.5,28,0.797813043943,-0.0991279472634,-2.77558252338,-6.46404915708
T1,C1,28,0.779803859508,-0.10993152013,-3.07808256365,-6.65680387373
T1,C2,28,0.745658579345,-0.131538665864,-3.68308264419,-7.04231330703
T2,C0,95,2.32837225585,0.552142585182,52.4535455922,-9.22765391534
T2,C0.5,95,2.28759122128,0.542298725632,51.518378935,-9.47714115995
T2,C1,95,2.24786524529,0.532454866083,50.5832122778,-9.72662840455
T2,C2,95,2.16907623476,0.512767146984,48.7128789634,-10.2256028938
T3,C0,109,2.10495672588,0.478023077562,52.1045154543,-16.1986431843
T3,C0.5,109,2.07736733276,0.470733017587,51.3098989169,-16.4912733768
T3,C1,109,2.05031716776,0.463442957611,50.5152823796,-16.7839035694
T3,C2,109,1.99777249987,0.44886283766,48.926049305,-17.3691639545
R1,C0,60,0.735066248929,-0.103733710351,-6.22402262107,-10.6685180361
R1,C0.5,60,0.694901791907,-0.122890214435,-7.37341286613,-11.632471813
R1,C1,60,0.656918694982,-0.14204671852,-8.52280311119,-12.5964255898
R1,C2,60,0.587770934934,-0.180359726688,-10.8215836013,-14.5243331435
R2,C0,173,1.07384283108,0.0449481103946,7.77602309826,-11.1410921055
R2,C0.5,173,1.00959474941,0.00608433521494,1.05258999218,-13.4395199352
R2,C1,173,0.950301333946,-0.0327794399647,-5.67084311389,-17.1804097891
R2,C2,173,0.844450084638,-0.110506990324,-19.117709326,-25.8384944428
R3,C0,3708,0.668400385931,-0.143906879775,-533.606710205,-541.400063382
R3,C0.5,3708,0.607170311438,-0.178122376999,-660.477773913,-667.252904436
R3,C1,3708,0.551018883662,-0.212337874223,-787.34883762,-793.173152167
R3,C2,3708,0.451774479937,-0.280768868672,-1041.09096504,-1045.01364763
