year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,1,0,,,0,0,,
2023,2,3,0,-0.727726981363,-2.18318094409,-2.18318094409,-1,0
2023,3,1,0,-1.00903361099,-1.00903361099,-1.00903361099,-1,0
2023,4,3,10.0920899147,1.79378415151,5.38135245453,-0.591871891395,9.09208991467,0.666666666667
2023,5,3,,0.913069994617,2.73920998385,0,,1
2023,6,5,2.5112746137,0.539709523714,2.69854761857,-1.78561036764,1.5112746137,0.4
2023,7,2,1.73988349934,0.371852431294,0.743704862588,-1.00516481751,0.739883499337,0.5
2023,8,5,20.3518090722,1.33425245229,6.67126226146,-0.344735845449,19.3518090722,0.8
2023,9,1,0,-0.916350478223,-0.916350478223,-0.916350478223,-1,0
2023,10,4,0.434919036776,-0.388318391121,-1.55327356448,-1.74109911768,-0.892122423539,0.25
2023,11,2,,0.898344395727,1.79668879145,0,,1
2023,12,2,,1.48239642174,2.96479284347,0,,1
2024,1,2,0,-0.501602232712,-1.00320446542,-1.00320446542,-1,0
2024,2,1,0,-1.0070646862,-1.0070646862,-1.0070646862,-1,0
2024,3,1,,1.40906163229,1.40906163229,0,,1
2024,4,5,0.516209870598,-0.242594019434,-1.21297009717,-2.50722373908,-0.483790129402,0.2
2024,5,4,0,-0.433714404862,-1.73485761945,-1.73485761945,-1,0
2024,6,3,,2.27770380266,6.83311140798,0,,1
2024,7,0,,,0,0,,
2024,8,8,0.649620468625,-0.196775774948,-1.57420619959,-2.50775680889,-0.627734792307,0.25
2024,9,2,,0.652494076074,1.30498815215,0,,1
2024,10,2,,1.32750930176,2.65501860352,0,,1
2024,11,4,3.25862576116,1.07475241749,4.29900966995,-1.90337405332,2.25862576116,0.5
2024,12,1,,0.475417127363,0.475417127363,0,,1
