trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe_pair,net_R
T3-CNY-000007,T3,CNY,LONG,2023-02-20 17:30:00+03:00,10.89,10.8215563747,0.068443625307,2023-02-21 13:00:00+03:00,10.8385414231,ATR_TRAILING_STOP,21,-758.475542257,-0.751838855489,0.0514585769163,0.04,0.751838855489,0.584422578737,-0.0514585769163,-0.751838855489,14739.5359085,0,-758.475542257,0.001,68.443625307,0,T3_MTF_Trend_v1.0,0.068443625307,CNYRUBF,H1_M30,-0.781059984426
T3-Si-000006,T3,Si,LONG,2023-02-20 17:30:00+03:00,74.68,74.2754494996,0.404550500445,2023-02-21 13:00:00+03:00,74.4380499009,ATR_TRAILING_STOP,21,-653.846256826,-0.598071436801,0.29,0.3,0.71684499137,0.741563784175,-0.24195009906,-0.598071436801,2702.40127765,0,-653.846256826,0.001,404.550500445,0,T3_MTF_Trend_v1.0,0.404550500445,USDRUBF,H1_M30,-0.603015195363
T3-CNY-000008,T3,CNY,SHORT,2023-02-27 16:00:00+03:00,10.73,10.799825509,0.0698255090448,2023-02-28 10:30:00+03:00,10.722092477,ATR_TRAILING_STOP,19,113.387619754,0.113246908489,0.04,0.11,0.572856546944,1.5753555041,0.007907523033,0.113246908489,14339.2082807,0,113.387619754,0.001,69.8255090448,0,T3_MTF_Trend_v1.0,0.0698255090448,CNYRUBF,H1_M30,0.0846040811419
T3-CNY-000009,T3,CNY,LONG,2023-03-10 14:00:00+03:00,10.92,10.8857742143,0.0342257856807,2023-03-13 10:30:00+03:00,10.9357348828,ATR_TRAILING_STOP,23,460.830182142,0.459737664455,0.02,0.07,0.58435473729,2.04524158051,0.015734882773,0.459737664455,29287.1697101,0,460.830182142,0.001,34.2257856807,0,T3_MTF_Trend_v1.0,0.0342257856807,CNYRUBF,H1_M30,0.401302190726
T3-Si-000007,T3,Si,SHORT,2023-03-13 14:30:00+03:00,75.11,75.4049305737,0.294930573667,2023-03-13 15:30:00+03:00,75.4049305737,ATR_TRAILING_STOP,2,-1086.71932671,-1,0.294930573667,0.1,1,0.339062847085,-0.294930573667,-1,3684.66148896,0,-1086.71932671,0.001,294.930573667,0,T3_MTF_Trend_v1.0,0.294930573667,USDRUBF,H1_M30,-1.00678125694
T3-Si-000008,T3,Si,SHORT,2023-03-13 18:30:00+03:00,74.93,75.2781032548,0.348103254834,2023-03-14 09:30:00+03:00,75.1982037547,ATR_TRAILING_STOP,12,-828.913771176,-0.770471838472,0.26820375473,0.07,0.770471838472,0.201089760087,-0.26820375473,-0.770471838472,3090.61210575,0,-828.913771176,0.001,348.103254834,0,T3_MTF_Trend_v1.0,0.348103254834,USDRUBF,H1_M30,-0.776217260189
T3-Si-000009,T3,Si,LONG,2023-03-15 15:30:00+03:00,76.06,75.8187697822,0.241230217764,2023-03-16 11:00:00+03:00,76.0764786345,ATR_TRAILING_STOP,21,72.926105991,0.0683108222023,0.19,0.43,0.787629351583,1.78252958516,0.0164786345155,0.0683108222023,4425.49447421,0,72.926105991,0.001,241.230217764,0,T3_MTF_Trend_v1.0,0.241230217764,USDRUBF,H1_M30,0.0600199869225
T3-CNY-000010,T3,CNY,LONG,2023-03-17 09:30:00+03:00,11.14,11.0906770059,0.0493229941475,2023-03-20 09:30:00+03:00,11.1818615085,ATR_TRAILING_STOP,30,854.650029869,0.848721965363,0.04,0.12,0.810980774613,2.43294232384,0.0418615085305,0.848721965363,20416.1307098,0,854.650029869,0.001,49.3229941475,0,T3_MTF_Trend_v1.0,0.0493229941475,CNYRUBF,H1_M30,0.808172926633
T3-CNY-000011,T3,CNY,LONG,2023-03-20 11:00:00+03:00,11.3,11.2275284004,0.0724715995915,2023-03-20 13:00:00+03:00,11.2275284004,ATR_TRAILING_STOP,4,-1015.53119581,-1,0.0724715995915,0,1,0,-0.0724715995915,-1,14012.8160761,0,-1015.53119581,0.001,72.4715995915,0,T3_MTF_Trend_v1.0,0.0724715995915,CNYRUBF,H1_M30,-1.02759701747
T3-Si-000010,T3,Si,SHORT,2023-03-23 14:00:00+03:00,76.21,76.5015624741,0.291562474056,2023-03-23 22:00:00+03:00,76.2108154029,ATR_TRAILING_STOP,16,-2.98765664068,-0.00279666600754,0.05,0.39,0.171489833052,1.3376206978,-0.000815402860269,-0.00279666600754,3664.02521534,0,-2.98765664068,0.001,291.562474056,0,T3_MTF_Trend_v1.0,0.291562474056,USDRUBF,H1_M30,-0.0096562593296
