direction,total_trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_hours,losing_streak,average_MAE_R,average_MFE_R
LONG,146,1.69764414174,0.312855609117,45.676918931,-13.0806940407,3.49193389806,0.417808219178,21.102739726,8,0.599413487629,1.76486489641
SHORT,100,2.04057822535,0.460409517802,46.0409517802,-9.01056122947,5.10966527031,0.41,15.835,7,0.594061739737,1.90494070114
