group,trades,MAE_R_mean,MAE_R_median,MFE_R_mean,MFE_R_median
all,160,0.72996399383,0.836219452234,1.3795133554,0.706229482644
winners,50,0.451391583195,0.450545514325,3.29344809165,2.49021665199
losers,110,0.856587816847,1,0.509543020739,0.386981192588
