direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,median_R,max_losing_streak,max_winning_streak
LONG,85,0.664146348278,-0.209503106805,-17.8077640784,-26.7934037004,-0.664632395255,0.258823529412,-0.835195683339,12,2
SHORT,75,1.28189768935,0.147169461769,11.0377096327,-13.9787910062,0.789604024255,0.373333333333,-0.543055584629,10,3
