fold_id,fold_net_R,fold_positive_R,share_of_total_positive_R,share_of_total_net_R
WF01,-14.1752112644,17.6780313599,0.206984876086,2.09381052663
WF02,-2.8095840384,31.6444716401,0.370512242447,0.415001690298
WF03,10.214740857,36.0848547464,0.422502881468,-1.50881221693
